ï»¿id.presentacion;producto;marca;especificacion;n;canasta;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Ãptimo;Envase 900 cc;285;2;48;60;63;63,84114414;77;81;3,645450483;2;63,42883366;0,0065;0,057101898
2;Aceite de girasol;RÃ­o de la Plata;Envase 900 cc;264;0;29,9;43,54;62;62,93042408;77,5;84,9;5,126129396;3,5;63,34810158;-0,006593;0,081457093
3;Aceite de girasol;Uruguay;Envase 900 cc;205;0;43;45;54;55,11556759;64;68;3,434929606;3;54,42786744;0,012635;0,062322312
4;Aceite de maÃ­z;Delicia;Envase 900 cc;243;0;50;55;65;67,16674843;78,5;83;5,07070831;7;66,89661042;0,004038;0,075494325
5;Aceite de maÃ­z;RÃ­o de la Plata;Envase 900 cc;265;0;44,9;59;64;65,00097497;77;85;3,436121517;1;64,70053323;0,004644;0,052862615
6;Aceite de maÃ­z;Salad;Envase 900 cc;61;0;39;39;39;44,6064918;65,89;65,89;10,39089296;0;44,3786991;0,005133;0,232945756
7;Aceite de soja;Condesa;Envase 900 cc;215;0;33;34,9;42;41,74238301;45,9;47;2,904232292;5;40,15761457;0,039464;0,069575144
8;Aceite de soja;RÃ­o de la Plata;Envase 900 cc;263;0;23,9;30,5;39;40,30873988;52;54;3,482443169;1,9;40,5801606;-0,006689;0,086394246
9;Aceite de soja;Salad;Envase 900 cc;98;0;32;33;37;37,11537929;42;44;2,463964274;1;36,04876785;0,029588;0,066386612
10;Agua de mesa con gas;Matutina;Envase 2 lt.;171;0;20;24;39;36,58137873;42;44;4,956439853;8,5;36,25173349;0,009093;0,135490789
11;Agua de mesa con gas;Nativa;Envase 2 lt.;180;0;32,5;34;47;46,78386581;52;52,5;3,567845;4,5;46,84445666;-0,001293;0,076262296
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;281;7;38;43,9;48;47,75389833;51;54;1,760267654;0,01;48,03231852;-0,005797;0,036861235
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;176;0;153;159;174;179,050581;234;260;14,82959002;13;174,3787932;0,026791;0,082823468
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;177;0;129;159;189;197,5873712;279;292;23,37135888;15;191,9513604;0,029362;0,118283667
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;249;1;19,9;28;43;40,6203629;44;46;3,848913135;5;40,47643075;0,003556;0,094753293
16;Arroz blanco;Green Chef;Bolsa 1 kg.;248;0;18,5;23,9;38;36,28577702;41;48;4,120367205;7;36,51238667;-0,006206;0,113553231
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;243;0;29;32;42;40,31204042;44;47;3,272696639;2,22;39,74050891;0,014382;0,081184098
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;164;2;17;17,9;23,01;23,19539389;30;33;3,631662118;7;23,27685918;-0,0035;0,156568245
