id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;369;98,9;103;125;123,7363572;140,85;160;6,576951309;4;119,4979924;0,035468;0,053152941
2;Aceite de girasol;Río de la Plata;Envase 900 cc;351;105;115;144;146,5145144;162;186;11,33581154;15,1;139,225686;0,052353;0,077369888
3;Aceite de girasol;Uruguay;Envase 900 cc;236;98,9;99;105;109,4700207;129;149;7,344982048;10,1;108,4602915;0,00931;0,067095831
4;Aceite de maíz;Delicia;Envase 900 cc;323;111,9;112,5;130;130,2719161;149;156;6,902486381;10;129,9145971;0,00275;0,052985222
5;Aceite de maíz;Río de la Plata;Envase 900 cc;365;119;139;149;149,2408084;165;172;6,911386256;7;147,2492102;0,013525;0,046310298
7;Aceite de soja;Condesa;Envase 900 cc;243;84,9;86;99;99,33515281;115;119;4,751127743;3;94,42093178;0,052046;0,047829269
8;Aceite de soja;Río de la Plata;Envase 900 cc;360;76;81;105;107,976309;130;136;13,90044981;23;95,83457451;0,126695;0,128736108
9;Aceite de soja;Salad;Envase 900 cc;98;85,9;85,9;99;97,86234526;105;105;3,291089075;0;88,56148145;0,105022;0,033629779
10;Agua de mesa con gas;Matutina;Envase 2 lt.;297;40;42;48;48,65886743;57;57;2,225050773;3;48,46787994;0,00394;0,04572755
11;Agua de mesa con gas;Nativa;Envase 2 lt.;224;48,8;50,9;61;60,56846888;64;70;2,249787368;1,1;59,2223631;0,02273;0,037144531
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;466;49;52;63;63,94912534;68;71;3,255331936;5;63,12083556;0,013122;0,050905027
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;216;249;265;345;340,9689804;398;440;19,70911347;24;334,9241967;0,018048;0,057803245
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;212;275;279;375;358,3144478;462;466;40,22602884;70;366,0249245;-0,021065;0,112264602
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;330;41,9;46,9;63;60,42824544;76;76;6,252095149;11;60,16933769;0,004303;0,103463126
16;Arroz blanco;Green Chef;Bolsa 1 kg.;330;41;43;53;52,64860216;61;67;4,051040538;5;52,88658901;-0,0045;0,076944883
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;390;42,9;48;59,9;58,92721159;64;73;4,088534671;3,91;58,15788705;0,013228;0,069382795
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;223;27;28;35;36,0853627;54;55;5,068728536;6;36,05293043;9,00E-04;0,140464946
19;Arroz blanco;Pony;Bolsa 1 kg.;26;25;25;39;38,80769231;59;59;7,385586972;9;38,80769231;0;0,190312449
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;218;30;30;35;36,08427713;45;48;3,507243697;6;36,26457532;-0,004972;0,097195897
22;Arvejas en conserva;Cololó;Lata 380 grs.;306;24;25,9;41,5;44,45936575;58;60,31;6,985670401;12;40,9584827;0,085474;0,157124833
23;Arvejas en conserva;Nidemar;Lata 300 grs.;122;20;20;26,72;26,99768554;32;32;3,081027851;4,99;26,7981473;0,007446;0,114121925
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;269;41;45;51;51,36433276;57;62;2,135673123;2;51,07102009;0,005743;0,041578913
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;338;41;44,9;51;50,79504522;59;61;2,016874726;1;50,57502885;0,00435;0,039706131
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;386;129;140;208;203,3439525;255;284;29,70659225;38;195,30449;0,041164;0,146090365
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;390;154;160,07;237;232,7881007;289;316;35,73698026;43,875;225,9983404;0,030043;0,153517212
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;137;115;119;151,9;156,1527657;198;239;21,11411206;32;136,2275747;0,146264;0,135214461
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;222;299;299;399;372,1114749;470;495;55,20919047;116;368,3073145;0,010329;0,148367342
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;210;269;269;335;332,8024105;382;425;22,64087138;31;328,2914735;0,013741;0,068030972
31;Cerveza;Patricia;Botella 960 ml.;386;107;107;145;141,0347574;154;167;8,601622094;3;141,5017634;-0,0033;0,060989378
32;Cerveza;Pilsen;Botella 960 ml.;248;104,9;115;130;127,3366764;145;159;7,576292974;10;123,8275263;0,028339;0,059498121
33;Cerveza;Zillertal;Botella 1 lt.;357;125;139;160;156,9105495;175;184;7,418708957;5;155,7343805;0,007552;0,047279861
34;Champú;Fructis;Envase 350 ml.;508;199,9;212;299,9;296,2652553;346;348;28,57060182;27;300,6327214;-0,014528;0,096435884
35;Champú;Sedal;Envase 350 ml.;383;109;109;225;201,6616009;245;255;43,66160904;63;198,8685119;0,014045;0,216509285
36;Champú;Suave;Envase 930 ml.;253;128;138,94;219;212,5471348;245;258;24,45695494;28;199,1394091;0,067328;0,11506603
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;224;390;409;510;492,7538592;549,95;607;36,44352333;70;504,1547855;-0,022614;0,07395888
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;205;299;339;529;519,2608134;569;590;47,77537281;26;506,4089811;0,025378;0,092006505
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;184;277;290;349;350,3739042;390;390;23,94771979;43,59;337,7334611;0,037427;0,068349039
