id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.
1;Aceite de girasol;Óptimo;Envase 900 cc;362;82;85;99;101,20;139;144;10,9938207;14;103,27;-0,019962;0,108630205
2;Aceite de girasol;Río de la Plata;Envase 900 cc;335;78;79;112;108,78;145;146;11,41913344;6;110,22;-0,013067;0,104976553
3;Aceite de girasol;Uruguay;Envase 900 cc;229;69;74;85;87,83;129;129;11,84931714;16;88,42;-0,006751;0,134916157
359;Aceite de girasol;Tata;Envase 900 cc;21;85;85;87;85,75;87;87;0,924500327;2;86,71;-0,01112;0,010781345
361;Aceite de girasol;Precio Líder;Envase 900 cc;83;85;85;99;92,50;99;99;6,983622684;14;97,38;-0,05012;0,075498624
365;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;109;109;115;118,01;133;133;7,2767275;6;125,68;-0,06107;0,061664432
4;Aceite de maíz;Delicia;Envase 900 cc;302;83;95;129;120,90;159;164;16,09196511;30;120,38;0,00435;0,1330988
5;Aceite de maíz;Río de la Plata;Envase 900 cc;315;102;109;145;144,28;166;169;8,326773148;10,9;143,43;0,005941;0,057710599
7;Aceite de soja;Condesa;Envase 900 cc;297;50;54;75;69,33;97;99;8,962860984;16;68,31;0,014953;0,129276961
8;Aceite de soja;Río de la Plata;Envase 900 cc;242;49;52;66;65,98;89;93;10,39357263;23;66,08;-0,00151;0,157515225
9;Aceite de soja;Salad;Envase 900 cc;13;79;79;84,41;82,00;85;85;2,791471233;5,41;82,00;0;0,034040735
318;Afeitadora;Gillette;2 unidades;433;369;399;522;525,97;596;614;42,82493036;38;523,96;0,003837;0,081420169
319;Afeitadora;Xtreme3;1 unidad;414;69;69;100,11;107,19;169;169;22,00147028;30;107,08;0;0,205251182
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;359;47;50;57;57,48;68;71;3,486486036;4;54,70;0,050701;0,060658831
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;270;49;56;69;69,50;80;83;3,63917637;2;62,66;0,109087;0,052362993
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;449;59;59;72;73,28;80;84;4,019792105;5;71,08;0,031;0,054855084
366;Agua de mesa sin gas;Salus;Envase 2,25lt.;449;50;50;72;72,60;80;84;5,800378089;5;70,34;0,032137;0,07989337
367;Agua de mesa sin gas;Matutina;Envase 2,5lt.;310;47;50;57;57,09;70;71;2,929242437;2;54,34;0,050722;0,051307498
368;Agua de mesa sin gas;Vitale;Envase 2,5lt.;266;49;50;59;61,81;73;80;3,902360688;6;62,00;-0,00316;0,063136631
369;Agua mineral sin gas;Salus;Envase 6,25lt.;423;109;114,9;135;137,32;144;148;6,064830206;10;131,28;0,046053;0,044164073
370;Agua mineral sin gas;Nativa;Envase 6lt.;275;98,3;99;125;121,27;131;137;8,593147128;17;121,62;-0,002847;0,070858656
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;134;219;239;299;291,27;359;365;22,20932667;31;270,02;0,078685;0,076251226
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;124;219;219;249;270,08;364;379;39,03738292;50;258,53;0,04467;0,144538023
347;Alcohol en gel;Bioset;250 ml.;108;93;93,74;142;133,27;159;159;14,66662703;13;133,27;0;0,11005473
346;Alcohol rectificado;Droguería Paysandú;250 ml.;19;77;77;80;81,47;92;92;3,764160204;2;81,47;0;0,046200933
348;Algodón;Zig Zag Cisne;100 gramos;480;92;97;139;135,95;187;187;33,80072828;69;135,96;-0,000033;0,248622853
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;306;51,9;52;74,9;71,14;85;86;8,535150161;12;72,02;-0,01223;0,119979116
16;Arroz blanco;Green Chef;Bolsa 1 kg.;311;49;52;62;64,16;85;85;8,027389585;3;63,34;0,01299;0,125109341
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;349;50;53,9;75;72,06;79;83;5,949341199;7;71,67;0,005461;0,082564415
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;181;34;35;44;45,38;74;74;8,127507354;3;44,86;0,011403;0,179112786
19;Arroz blanco;Pony;Bolsa 1 kg.;40;31;31;39;40,83;59;59;6,431132201;1;40,83;0;0,157529264
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;161;30;30;45,9;42,82;57;60;6,289385203;10,9;38,99;0,098397;0,146863828
22;Arvejas en conserva;Cololó;Lata 380 grs.;251;29;34;43,9;44,49;59;60;4,486571763;4;44,62;-0,002962;0,100849256
23;Arvejas en conserva;Nidemar;Lata 300 grs.;62;19;19;32;30,23;37;37;4,679315355;3;30,23;0,000065;0,154792246
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;294;51;52;67;67,30;79;83;4,036817172;1;68,42;-0,016472;0,059986144
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;295;51;51;67;66,37;71;75;3,406481729;1;65,97;0,006059;0,051323703
257;Banana Brasil;NA;1 kg.;101;59;59;99;95,66;130;130;11,84739379;3;95,77;-0,001181;0,123848816
255;Banana Ecuador;NA;1 kg.;63;75;75;114,9;111,96;140;140;18,76626346;25;113,05;-0,009584;0,167612009
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;318;195;198;248;243,60;279;296;20,27873499;10;249,34;-0,023002;0,083246034
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;358;255;259;299;300,78;365;365;23,51931232;14;297,12;0,012312;0,078194834
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;167;131;151;204,9;201,59;225;231;15,63228662;20,1;201,64;-0,000287;0,077546464
