id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;420;79;83,9;115;112,9776417;143;148;12,87919099;21;113,8515512;-0,007676;0,113997697
2;Aceite de girasol;Río de la Plata;Envase 900 cc;387;89;99;129;133,117547;153;162,5;10,35641938;9;137,6608335;-0,033003;0,077799055
3;Aceite de girasol;Uruguay;Envase 900 cc;204;73;75;88;88,61645695;120,64;125;9,586300921;11;88,93107738;-0,003538;0,108177434
359;Aceite de girasol;Tata;Envase 900 cc;86;79;99;99;101,1642911;109;109;4,305938153;0;93,69474591;0,079722;0,042563815
361;Aceite de girasol;Precio Líder;Envase 900 cc;84;89;89;89;92,73092369;99;99;4,843100995;10;97,92685026;-0,053059;0,052227464
365;Aceite de girasol;Tienda Inglesa;Envase 900 cc;15;78;83;89;101,9997354;133;133;15,64414213;26;105,2505747;-0,030887;0,15337434
4;Aceite de maíz;Delicia;Envase 900 cc;369;94;94,9;129;123,2320172;149;167;16,70350304;27;123,673036;-0,003566;0,135545156
5;Aceite de maíz;Río de la Plata;Envase 900 cc;393;99;126;145;144,5041456;171;176;8,422716846;10;146,731773;-0,015182;0,058287026
7;Aceite de soja;Condesa;Envase 900 cc;357;55;55;75;71,96943605;97;105;8,756486908;12,1;73,34475377;-0,018751;0,121669522
8;Aceite de soja;Río de la Plata;Envase 900 cc;366;49;55;78;74,40109969;105;122;13,77571041;12;73,81829068;0,007895;0,185154661
9;Aceite de soja;Salad;Envase 900 cc;97;69;69;72;72,54670103;105;105;3,824416095;0;72,54670103;0;0,052716609
318;Afeitadora;Gillette;2 unidades;424;303;329;500;504,1274421;565;587;45,14950076;35;481,3302585;0,047363;0,089559697
319;Afeitadora;Xtreme3;1 unidad;435;60;69;114;108,7578708;152;162;25,68967323;19,1;107,9832328;0,007174;0,236209785
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;411;35;35;37;38,74117134;55;62;4,962878329;1;37,49006062;0,033372;0,128103466
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;344;44,9;48;49;52,30486779;69;76;7,084041682;1;49,51475324;0,056349;0,135437522
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;516;48,9;50;50;53,41637555;74;77;6,744626308;4;51,68329948;0,033533;0,126265143
366;Agua de mesa sin gas;Salus;Envase 2,25lt.;500;48,9;50;50;53,379061;74;77;6,61534579;4;51,62214253;0,034034;0,123931475
367;Agua de mesa sin gas;Matutina;Envase 2,5lt.;357;34;35;37;38,52050472;56;62;4,975014773;1;37,51711826;0,026745;0,129152378
368;Agua de mesa sin gas;Vitale;Envase 2,5lt.;250;44;44;48;48,37511101;65;69;5,637847879;4;47,96091496;0,008636;0,116544392
369;Agua mineral sin gas;Salus;Envase 6,25lt.;356;88;89;89;91,96799531;129;143;10,01955837;0;89,40197523;0,028702;0,108946143
370;Agua mineral sin gas;Nativa;Envase 6lt.;339;77,5;79;83;86,17738946;125;135;9,926601841;0;84,15937664;0,023978;0,115188008
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;153;248;249;279;281,1122155;359;390;24,88033622;18;287,0098604;-0,020549;0,088506777
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;140;229;229;256;276,0140504;385;389;45,86823312;50;276,696433;-0,002466;0,166180791
347;Alcohol en gel;Bioset;250 ml.;107;95;95;142;132,4556075;159;159;14,771149;13;132,4556075;0;0,111517732
346;Alcohol rectificado;Droguería Paysandú;250 ml.;15;77;77;80;81,86666667;92;92;4,144213867;4;81,86666667;0;0,050621505
348;Algodón;Zig Zag Cisne;100 gramos;558;89;89;123;133,7254945;187;187;31,95390283;66;134,3446359;-0,004609;0,238951465
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;360;49;50;69;66,02323356;83;83;7,438466524;11;67,40650582;-0,020521;0,112664378
16;Arroz blanco;Green Chef;Bolsa 1 kg.;352;49;51;60;59,96916161;81;81;7,260550033;5;58,96354431;0,017055;0,121071395
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;418;49;49;67;65,30863084;72;76;5,166016375;6;65,36557605;-0,000871;0,079101587
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;248;29;29;42;41,74261301;63;66;6,353639039;7;41,11453387;0,015276;0,152209902
19;Arroz blanco;Pony;Bolsa 1 kg.;40;31;31;39;40,825;59;59;6,294249626;1;40,825;0;0,154176353
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;170;30;30;42;40,26787173;52;55;3,978211751;6;40,26414639;9,30E-05;0,098793693
22;Arvejas en conserva;Cololó;Lata 380 grs.;327;29;34;44;46,28800924;58;60;6,56804433;13;47,04527314;-0,016096;0,141895157
23;Arvejas en conserva;Nidemar;Lata 300 grs.;146;19;19;36;32,41189129;37;37;5,384885691;9;30,042552;0,078866;0,1661392
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;351;47;49;59,9;57,6346741;67;69;4,010477356;5;57,47352864;0,002804;0,069584454
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;357;48;51;60;59,64448648;64;69;2,199127589;2;59,48757472;0,002638;0,036870593
257;Banana Brasil;NA;1 kg.;189;51;59;76;76,25698846;99;115;5,144316485;4;76,16655852;0,001187;0,067460263
255;Banana Ecuador;NA;1 kg.;144;52;75;102;103,798975;130;140;11,88468532;9;104,1656721;-0,00352;0,114497136
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;311;199;199;248;245,2462647;279;327;15,82276051;7;249,4932069;-0,017022;0,064517845
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;423;241;259;289;294,7785478;365;365;21,32903172;5;294,732884;0,000155;0,072356119
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;161;165;169;204,9;200,456455;239;253;14,60179926;18,1;193,729214;0,034725;0,072842749
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;149;320;329;399;390,5106592;485;489;25,72428216;32;394,5373097;-0,010206;0,065873444
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;148;215;230;295;298,2624098;379;399;25,55291694;19;302,3372313;-0,013478;0,085672603
31;Cerveza;Patricia;Botella 960 ml.;417;120;120;157;153,8368485;173;175;10,94741759;3;155,7388176;-0,012213;0,071162519
32;Cerveza;Pilsen;Botella 960 ml.;277;114;119;125;131,3805945;156;165;10,3994403;12;130,3307106;0,008056;0,079155071
33;Cerveza;Zillertal;Botella 1 lt.;390;145;156;177;176,7412245;188;195;5,269516535;1;176,7355762;3,20E-05;0,029814869
34;Champú;Fructis;Envase 350 ml.;530;220;230;337;330,0002743;389;404;25,55229862;20;330,2198817;-0,000665;0,077431144
35;Champú;Sedal;Envase 350 ml.;179;167,8;175;227;222,2554286;247;255;15,55619925;19;222,1923744;0,000284;0,069992438
36;Champú;Suave;Envase 930 ml.;271;90;90;145;141,3886462;205;229;19,8188806;16;148,1548606;-0,04567;0,141187929
320;Champú;Dove;400 ml.;488;295;332;417;414,6931416;456;489;23,70948446;22;408,4610915;0,015257;0,057173563
321;Champú;Pantene;400 ml.;548;346,5;346,5;429;421,0141452;458;480;27,54125242;30;421,8668552;-0,002021;0,065416454
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;224;410;425;575;562,4306719;599;599;46,55342015;39,79;558,7742843;0,006544;0,082771837
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;211;411;419;598;577,0177519;655;659;50,69838353;1;545,1069941;0,05854;0,08786278
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;179;299;302,22;349;365,6515254;420;420;35,38802921;58;365,6734931;-6,00E-05;0,096780751
349;Cinta adhesiva;Ready Plast;1 unidad;174;58;58;58;59,76849711;68;80;3,845996071;0;59,76849711;0;0,064348214
40;Cocoa;Copacabana;Envase 500 grs.;310;162;188;219;217,319015;253,17;256,56;14,13089115;16;218,5632797;-0,005693;0,065023722
41;Cocoa;Vascolet;Envase 500 grs.;365;160;168;209;206,6508638;233;246;19,07954374;17;203,0592606;0,017687;0,092327433
331;Colonia + Talco;Bebe & Co;120 ml.;413;395;410;582;579,9430065;649;666,33;51,5507259;41;577,7620244;0,003775;0,088889297
322;Crema facial;Revitalift;50 ml.;66;1469;1469;1469;1504,651515;1616;1616;57,71006583;128;1504,651515;0;0,03835444
323;Crema facial;Asepxia;28 grs.;33;265;265;351,71;352,1409091;370;370;29,05762352;18,29;352,1409091;0;0,082517034
350;Curitas;Ready Plast;8 unidades;333;49;49;52;57,11480363;69;71;6,733525782;13;57,12011995;-9,30E-05;0,11789458
42;Desodorante en aerosol;Axe Musk;Envase 113 grs.;573;148;149;181;181,0973492;201;215;12,71581476;10;177,6806634;0,019229;0,070215356
43;Desodorante en aerosol;Dove Original;Envase 100 grs.;375;159;159;229;218,8350669;250;260;20,46221719;14;217,8844343;0,004363;0,093505202
44;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;314;145;166;195;195,0805908;228,64;239;10,64027412;12;190,5486362;0,023784;0,054542966
45;Detergente para vajilla;Deterjane limón;Envase 1.250 lt.;352;96;99;127;126,1971808;139;156;7,504328262;14,1;126,3625778;-0,001309;0,059465102
46;Detergente para vajilla;Hurra Nevex Limón;Envase 1.250 lt.;559;92;99;129;128,1121695;164,88;164,88;14,59496041;7,84;128,9776766;-0,006711;0,113923294
