id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
1;AB;Aceite de girasol;Óptimo;Envase 900 cc;454;79;84,9;99,00;99,738;119;139;7,240437625;5,0;99,8640;-0,0013;0,0726
2;AB;Aceite de girasol;Río de la Plata;Envase 900 cc;425;75;89;112,00;111,594;145;149,07;11,28612529;10,0;112,0400;-0,004;0,1011
3;AB;Aceite de girasol;Uruguay;Envase 900 cc;318;69;74;87,00;87,683;112;123;10,58286841;24,0;86,3500;0,0154;0,1207
359;AB;Aceite de girasol;Tata;Envase 900 cc;86;94;95;95,00;96,386;99;111;1,871737242;3,0;98,1750;-0,0182;0,0194
361;AB;Aceite de girasol;Precio Líder;Envase 900 cc;90;85;85;85,00;87,71;99;99;5,532097375;0,0;98,5330;-0,1098;0,0631
365;AB;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;84;84;97,00;94,5;102;102;6,223799709;3,3;98,1270;-0,037;0,0659
4;AB;Aceite de maíz;Delicia;Envase 900 cc;402;84;89;129,00;121,458;140;154,35;13,35349691;23,7;119,4730;0,0166;0,1099
5;AB;Aceite de maíz;Río de la Plata;Envase 900 cc;420;113,4;130;149,00;149,841;167;167;10,60324338;18,0;147,9840;0,0125;0,0708
7;AB;Aceite de soja;Condesa;Envase 900 cc;389;54,9;55;65,00;65,893;82;97;8,590379595;16,0;66,5560;-0,01;0,1304
8;AB;Aceite de soja;Río de la Plata;Envase 900 cc;427;49;55;72,00;69,572;84;93;9,684411322;20,0;68,9830;0,0085;0,1392
9;AB;Aceite de soja;Salad;Envase 900 cc;93;50;56,9;75,00;74,82;99;99;3,825543737;0,0;71,6410;0,0444;0,0511
10;AB;Agua de mesa con gas;Matutina;Envase 2,5 lt.;458;47;50;59,00;59,173;70;73;3,160314309;3,0;58,1990;0,0167;0,0534
11;AB;Agua de mesa con gas;Nativa;Envase 2,5 lt.;373;56;67,9;72,00;72,165;86;87;2,937594051;1,1;71,8830;0,0039;0,0407
12;AB;Agua de mesa con gas;Salus;Envase 2,25 lt.;553;60;65;74,00;74,956;80;88;4,030060892;6,0;73,4950;0,0199;0,0538
366;AB;Agua de mesa sin gas;Salus;Envase 2,25lt.;547;60;65;74,00;74,971;80;88;4,063171285;6,0;73,5100;0,0199;0,0542
367;AB;Agua de mesa sin gas;Matutina;Envase 2,5lt.;402;47;51,9;59,00;59,022;70;73;2,991514739;2,0;58,0550;0,0167;0,0507
368;AB;Agua de mesa sin gas;Vitale;Envase 2,5lt.;376;50;50,01;65,00;62,707;68;99;4,269390175;6,0;63,2680;-0,0089;0,0681
