id.presentacion;producto;marca;especificacion;n;min;pmin.1%;median;mean;pmax.99%;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;380;50;57;63;66,03818206;75;79;6,126521098;15;65,67639489;0,005508633;0,092772407
2;Aceite de girasol;Río de la Plata;Envase 900 cc;358;29,9;55;62;62,83385219;77,5;83;4,382241285;0;61,99423918;0,013543404;0,069743317
3;Aceite de girasol;Uruguay;Envase 900 cc;194;43;45;53,9;53,26675797;64,5;64,5;4,361512491;7,5;52,53979399;0,013836445;0,08188057
4;Aceite de maíz;Delicia;Envase 900 cc;283;53;55;64;66,14519414;77;83;4,594532566;6;66,2920019;-0,002214562;0,069461321
5;Aceite de maíz;Río de la Plata;Envase 900 cc;359;44,9;59;64;63,47505545;77;85;3,279900353;2;63,92712761;-0,007071679;0,051672272
6;Aceite de maíz;Salad;Envase 900 cc;61;39;39;39;44,21294118;62,24;62,24;9,573612637;0;49,17610752;-0,100926376;0,216534173
7;Aceite de soja;Condesa;Envase 900 cc;214;33;33;41;39,70561531;48;49;3,724883311;6;39,74623951;-0,001022089;0,093812507
8;Aceite de soja;Río de la Plata;Envase 900 cc;262;23,9;30,5;39;40,93153321;52;52;3,612175909;5;41,02620089;-0,002307493;0,088249221
9;Aceite de soja;Salad;Envase 900 cc;99;29;32;37;36,30061486;42;44;2,141578529;2;37,05738366;-0,020421539;0,058995654
10;Agua de mesa con gas;Matutina;Envase 2 lt.;169;20;24;38;35,59664979;41;43;4,624261618;7,5;35,54208996;0,001535077;0,129907214
11;Agua de mesa con gas;Nativa;Envase 2 lt.;175;32,5;32,9;44;43,3783343;51;51;3,669586948;8,1;42,83345857;0,012720797;0,084594925
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;375;39;39;45;45,07264054;50;52;2,191647028;1;45,06587082;0,000150218;0,048624776
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;175;139;139;159;166,7801164;219;240;16,37341355;22;175,1324141;-0,047691329;0,098173655
