ï»¿id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Ãptimo;Envase 900 cc;310;54;58;73;72,44760246;86;89;4,263993408;2,5;71,72274969;0,010106;0,058856239
2;Aceite de girasol;RÃ­o de la Plata;Envase 900 cc;289;29,9;49;69;69,02499376;87,9;89,9;6,963029823;4;68,92450366;0,001458;0,100876935
3;Aceite de girasol;Uruguay;Envase 900 cc;230;48;49,9;55;55,72699491;69;71;5,685242857;10;56,41756658;-0,01224;0,102019548
4;Aceite de maÃ­z;Delicia;Envase 900 cc;309;53;63,9;81;79,38935582;93;93;4,567722003;3,5;77,46977352;0,024778;0,057535698
5;Aceite de maÃ­z;RÃ­o de la Plata;Envase 900 cc;291;44,9;64;81;79,72489164;91;91;4,994175413;3;80,80081967;-0,013316;0,062642611
6;Aceite de maÃ­z;Salad;Envase 900 cc;83;35;35;35;37,77922365;72,29;72,29;9,550197141;0;39,07957746;-0,033275;0,252789661
7;Aceite de soja;Condesa;Envase 900 cc;213;34;36,5;42;42,08629774;49;51;2,190174509;2,5;42,03223265;0,001286;0,052040085
8;Aceite de soja;RÃ­o de la Plata;Envase 900 cc;288;23,9;30,5;43;44,36853698;57;60;4,066985278;3,9;43,58459376;0,017987;0,091663723
9;Aceite de soja;Salad;Envase 900 cc;126;30;33;41;40,20875412;43;45;1,912860871;1,2;39,29097324;0,023359;0,047573244
10;Agua de mesa con gas;Matutina;Envase 2 lt.;183;20;20;31,5;32,5031562;45;48;7,303545801;11;28,94345701;0,122988;0,224702664
11;Agua de mesa con gas;Nativa;Envase 2 lt.;180;34;37,9;49;49,38820047;55;55;2,861963254;4;49,22087234;0,0034;0,05794832
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;403;39;44;49;50,11430498;53;56;2,438760002;4;50,20747006;-0,001856;0,048663949
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;204;159;159;249;236,3076883;289;300;20,82514773;29;229,0331433;0,031762;0,088127254
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;206;129;165;249;242,2909278;339,9;358;30,79307164;40;229,2914818;0,056694;0,127091311
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;278;19,9;28;44,9;43,25362033;49;53;5,39778135;5;42,934027;0,007444;0,124793747
16;Arroz blanco;Green Chef;Bolsa 1 kg.;277;18,5;21;40;39,1129971;44;49;4,131993924;3;37,762964;0,03575;0,105642478
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;271;28,9;30;45;42,53460629;50;52;4,374437069;5;43,3520577;-0,018856;0,102844189
