id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;393;112,9;119;135;134,3311809;149;160;7,045340369;9,9;133,5663591;0,005726;0,052447543
2;Aceite de girasol;Río de la Plata;Envase 900 cc;382;119;120;159;154,98409;173;177;12,63837856;16;156,1222416;-0,00729;0,081546297
3;Aceite de girasol;Uruguay;Envase 900 cc;200;98;98;115;117,438413;156;156;14,18356117;18,1;114,5103028;0,025571;0,120774462
4;Aceite de maíz;Delicia;Envase 900 cc;361;126;129,9;147;146,2204332;161;167;6,836497687;9;145,47891;0,005097;0,046754736
5;Aceite de maíz;Río de la Plata;Envase 900 cc;396;135;139;155;153,146751;174,9;179;10,94479273;18;148,7303283;0,029694;0,071466046
7;Aceite de soja;Condesa;Envase 900 cc;352;73;73;88;86,50662136;108;111;7,717373247;13;92,72882287;-0,067101;0,089211359
8;Aceite de soja;Río de la Plata;Envase 900 cc;390;72;75;91;96,11250319;130;131;16,63771731;23;98,23282698;-0,021585;0,17310669
9;Aceite de soja;Salad;Envase 900 cc;102;72;72;79;80,21451771;106;106;14,2372857;33;100,5868344;-0,202535;0,177490136
10;Agua de mesa con gas;Matutina;Envase 2 lt.;182;47;47;50;50,87446072;62;62;2,74426094;3;50,68196174;0,003798;0,053941819
11;Agua de mesa con gas;Nativa;Envase 2 lt.;252;58;58;64;64,04899954;70;71;2,109181531;1;63,87037037;0,002797;0,032930749
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;503;57;61;66;67,35153073;71;81;2,675591022;5;67,05881965;0,004365;0,039725764
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;149;239;239;239;266,8572946;390;399;45,73094701;50;278,2181596;-0,040834;0,171368548
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;138;249;259;299;310,0382384;399;402;33,61499524;21;318,54;-0,026689777;0,108422095
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;356;47,9;48;67;63,657501;70;72;5,699222892;8;63,32467043;0,005256;0,089529479
16;Arroz blanco;Green Chef;Bolsa 1 kg.;352;42;45;61;59,23751615;68;69;5,17351401;7;57,17977778;0,035987;0,087335093
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;413;49;49;64,9;63,02925653;69,9;70;4,255345379;6;63,10298813;-0,001168;0,067513812
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;240;30;31;38;38,33672679;57;57;5,669865013;5;38,02793584;0,00812;0,14789643
19;Arroz blanco;Pony;Bolsa 1 kg.;40;31;31;39;40,525;59;59;5,984048336;4;40,525;0;0,14766313
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;168;33;34;44;40,58799172;48;50;4,240729575;6;40,48809524;0,002467;0,10448237
22;Arvejas en conserva;Cololó;Lata 380 grs.;323;25,9;34;48;46,31165189;59;60;5,735576447;6;43,59856533;0,062229;0,123847373
23;Arvejas en conserva;Nidemar;Lata 300 grs.;63;22,9;22,9;30;29,18226831;33;33;3,145015021;5,44;29,15060998;0,001086;0,107771438
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;293;45;47;54;53,56304859;61;69;2,952727579;4;53,54357224;0,000364;0,055126205
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;352;48;49;55;54,60546194;58;69;1,812880763;2;54,61778409;-0,000226;0,033199623
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;410;202;210;248;251,3109726;276;331;12,78885703;12;249,6742001;0,006556;0,050888574
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;419;219;219;289;286,6506604;325;355;17,52752327;16;267,4757195;0,071689;0,061145937
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;149;143;143;195;196,3561521;239;253;15,13243621;14,1;196,3434004;6,50E-05;0,07706627
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;150;309;328;389;385,5907041;459;460;26,00442015;32;386,0603981;-0,001217;0,067440475
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;143;239;239;285;290,6372894;359;369;24,39535229;14;295,8439351;-0,017599;0,083937448
31;Cerveza;Patricia;Botella 960 ml.;412;120;120;150;148,1926818;159;171;7,740407156;3;149,1155675;-0,006189;0,052232047
32;Cerveza;Pilsen;Botella 960 ml.;278;115;121;135;131,195474;148;152;6,778104175;12;133,1021623;-0,014325;0,051664162
33;Cerveza;Zillertal;Botella 1 lt.;385;135;136;170;165,6106119;185;196;10,5091731;8;170,203073;-0,026982;0,063457124
34;Champú;Fructis;Envase 350 ml.;509;212;239;313;308,978603;348,395;359;25,25780336;33;308,0460541;0,003027;0,081746125
35;Champú;Sedal;Envase 350 ml.;182;175;179,513;227;221,1565934;244,9;255;14,81072383;19;212,2613553;0,041907;0,066969398
36;Champú;Suave;Envase 930 ml.;285;140;143;235;228,4181348;255;261;20,36132753;18;228,6961701;-0,001216;0,089140591
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;227;399;425;542;527,0488417;582;599;42,16795492;70;530,3235095;-0,006175;0,08000768
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;207;391;405;580;557,8091887;609;670;49,46786048;33;532,1171737;0,048283;0,088682405
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;178;299;319;349;354,4550879;399;399;22,78995761;43,59;354,406236;0,000138;0,064295755
40;Cocoa;Copacabana;Envase 500 grs.;416;162;165;204;201,5319591;236,61;242,96;18,61761757;25;206,0347258;-0,021854;0,092380472
41;Cocoa;Vascolet;Envase 500 grs.;276;139;149;202;195,3262253;220;228;13,93051169;14;189,0554988;0,033169;0,071319208
42;Desodorante en aerosol;Axe Musk;Envase 113 grs.;594;135;143;170;166,3020054;195;195;12,67544517;25;168,4916211;-0,012995;0,076219437
43;Desodorante en aerosol;Dove Original;Envase 100 grs.;369;147;159;210;201,3770561;228;239;19,07604875;31;202,6029399;-0,006051;0,094728015
44;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;310;125;142;188;186,1874499;216;220;11,35538913;6;186,3112983;-0,000665;0,060989015
45;Detergente para vajilla;Deterjane limón;Envase 1.250 lt.;347;89;89;115;111,6209536;130;147;13,78021799;32;111,8169246;-0,001753;0,123455476
46;Detergente para vajilla;Hurra Nevex Limón;Envase 1.250 lt.;549;89;95;124;123,2717368;150,99;150,99;11,01269015;11;121,6500545;0,013331;0,0893367
47;Detergente para vajilla;Protergente limón;Envase 1 lt.;345;50;53;65;65,17356334;70,56;74;4,478408326;5;62,26098375;0,04678;0,068715106
48;Dulce de leche;Conaprole;Envase 1 kg.;388;191;205;229;231,1874937;260;265,24;11,55381955;9;227,283456;0,017177;0,049975971
49;Dulce de leche;Los Nietitos;Envase 1 kg.;416;139;149,9;188;186,7626012;218;229;13,81503469;13,26;191,7161244;-0,025838;0,073971098
50;Dulce de leche;Manjar;Envase 1 kg.;417;145;159;182;183,5969551;215;219;9,419018022;7;183,1090649;0,002664;0,051302692
51;Dulce de membrillo;Los Nietitos;Envase 400 grs.;370;59;59;71;70,46352286;79;85;3,576659295;5;69,98500424;0,006837;0,050759019
52;Fideos secos al huevo;Adria;Paquete 500 grs.;343;69;74,9;91;90,30146653;99;105;4,500090324;4;90,36501352;-0,000703;0,049834078
53;Fideos secos al huevo;Cololó;Paquete 500 grs.;330;59;63,98;77;75,70538831;84;90;4,313761912;5;76,21273854;-0,006657;0,05698091
54;Fideos secos al huevo;Las Acacias;Paquete 500 grs.;390;54;59;67;67,36016169;84;84;6,706547664;6,9;68,43595579;-0,01572;0,099562523
56;Fideos secos semolados;Las Acacias - franja celeste;Paquete 500 grs.;232;45;49;58;57,78996776;65;66,5;3,978895321;3,9;57,4224569;0,0064;0,06885097
58;Frankfurters cortos;Centenario;Paquete 8 us.;210;125;130;191,5;194,3876881;263;263;20,46629666;2,5;186,6168061;0,041641;0,105285972
59;Frankfurters cortos;Ottonello;Paquete 8 us.;340;120;129;168;169,1805994;193;198;12,70033218;14;169,6969505;-0,003043;0,075069672
60;Frankfurters cortos;Schneck;Paquete 8 us.;352;165;189;227;226,5707263;265;278;16,00359448;20;226,6647389;-0,000415;0,07063399
61;Galletitas al agua;Famosa;Paquete 140 grs.;488;42;49;57;56,64558062;60;66;3,124053634;5;56,55494183;0,001603;0,05515088
62;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;74;40;40;41;40,89324324;46;46;1,172976116;1;40,89324324;0;0,028683861
63;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;533;102;110;125;127,1261848;138;149;8,004317488;15;127,3297573;-0,001599;0,062963563
64;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;443;121;129;155;159,302492;172;185;10,29920611;18;158,9802152;0,002027;0,064651883
66;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;324;109;119;148;145,6242444;162;162;8,955143879;0;146,2571742;-0,004328;0,061494869
67;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;328;99;102,9;110;113,6883951;129;132;6,287762966;10;113,4531208;0,002074;0,05530699
68;Hamburguesas carne vacun;Burgy;Paquete 3 unidades;260;31;31;38;37,32250778;44;48;3,025910177;4,9;37,07955389;0,006552;0,081074675
69;Hamburguesas carne vacun;Paty;Paquete2 unidades;122;45,7;45,9;51,2;55,08319328;77;77;6,55462632;9,1;55,08319328;0;0,118995032
70;Hamburguesas carne vacun;Schneck;Paquete2 unidades;405;64;69;83;79,59502808;95;99;7,712277851;13;80,87812592;-0,015865;0,096893965
71;Harina de maíz;Gourmet;Paquete 450 grs.;75;26;26;29;29,89865832;45;45;2,909742991;3;29,8132;0,002866;0,097320186
72;Harina de maíz;Presto Pronta Arcor;Paquete 500 grs.;319;35;36,9;51;50,4322987;56;60;3,136423755;1,1;50,82452316;-0,007717;0,062190775
73;Harina de maíz;Puritas;Paquete 450 grs.;364;32,9;34;42;40,72833524;44;46;3,113122239;5;40,35876679;0,009157;0,076436275
74;Harina trigo común 000;Cañuelas;Paquete 1 kg.;358;43;47;53;56,89321975;69;73;5,149062969;9;55,97563739;0,016393;0,090503983
75;Harina trigo común 000;Cololó;Paquete 1 kg.;112;44,9;44,9;67;62,66517857;73;73;7,159155595;13,9;62,54107143;0,001984;0,114244557
76;Harina trigo común 0000;Cañuelas;Paquete 1 kg.;474;49;49;66;65,53352868;72;79;3,991310135;4;64,93413818;0,009231;0,060904856
77;Harina trigo común 0000;Cololó;Paquete 1 kg.;309;49;49;81;73,92048616;86;88;12,00424514;18;73,84613096;0,001007;0,162394023
78;Harina trigo común 0000;Primor;Paquete 1 kg.;163;51,9;52;67;63,48951382;76;76;6,991333127;14,9;66,27921382;-0,04209;0,110117919
79;Helado familiar;Conaprole;Envase 1lt.;400;225;230;269;261,8114166;293,16;312;15,29887356;23;260,473899;0,005135;0,058434708
80;Helado familiar;Crufi;Envase 1lt.;269;218;219,9;255;258,3723849;291;291;21,65803613;34;255,2889741;0,012078;0,083824888
82;Hipoclorito de sodio;Agua Jane;Botella 1 lt.;412;60;65;78;79,69952725;93;93;7,60575375;14;77,39069955;0,029833;0,09543035
83;Hipoclorito de sodio;Sello Rojo;Botella 1 lt.;406;50;54;71;71,01511982;86,19;86,19;5,617400424;5;68,69447946;0,033782;0,079101471
84;Hipoclorito de sodio;Solución Cristal;Botella 1 lt.;385;37;39;52;56,03640445;71;72;8,643391265;17;51,89088022;0,079889;0,154246
85;Huevos colorados;El Jefe;Envase 1/2 docena;100;72;72;88;87,53348065;92;97;4,599036728;3;87,70936667;-0,002005;0,052540316
86;Huevos colorados;Prodhin;Envase 1/2 docena;187;72;74;90;90,3593436;96;104;3,961624748;5,9;87,37885305;0,03411;0,043843001
87;Huevos colorados;Super huevo;Envase 1/2 docena;265;68;70;89,9;88,08148819;97;105;6,277286039;8;88,64368376;-0,006342;0,071266803
88;Jabón de tocador;Astral plata;Unidad 125 grs.;617;40;42;66;64,26533278;75;84,9;7,640896946;7;64,97815297;-0,01097;0,118896092
89;Jabón de tocador;Palmolive;Unidad 125 grs.;382;29;29;50;45,48172804;56;56;9,036659141;15;47,23448276;-0,037108;0,198687683
90;Jabón de tocador;Rexona;Unidad 125 grs.;525;28;29;58;55,20472398;70;74;9,261605727;17,5;54,68760779;0,009456;0,167768355
91;Jabón en polvo máquina;Drive;Paquete 800 grs.;145;120;124,9;143;141,8189969;171,67;171,67;12,41201834;13;141,4589516;0,002545;0,087520139
92;Jabón en polvo máquina;Nevex;Paquete 800 grs.;541;135;146;179;180,0299936;220,73;226;14,85524369;17;178,0006577;0,011401;0,082515382
93;Jabón en polvo máquina;Skip - Paquete azul;Paquete 800 grs.;104;138;138;165;170,6663462;209;209;14,15864947;23;170,5846154;0,000479;0,082960993
94;Jabón para ropa en barra;Bull Dog;Unidad 300 grs.;321;41;42;72;66,39059518;78;86;12,78490705;24;66,41677215;-0,000394;0,192571056
95;Jabón para ropa en barra;Nevex;Unidad 200 grs.;367;32;35;49;48,20813067;59,32;60;4,11009306;3;48,33017306;-0,002525;0,085257259
