id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
1;Alimentos y bebidas;Aceite de girasol;Óptimo;Envase 900 cc;458;87,9;91;99;101,146;119,0;137,0;6,210300703;6,24;100,02;0,0113;0,0614
2;Alimentos y bebidas;Aceite de girasol;Río de la Plata;Envase 900 cc;427;59;86;109;110,827;129,0;149,1;7,119678904;3;109,878;0,0086;0,0642
3;Alimentos y bebidas;Aceite de girasol;Uruguay;Envase 900 cc;322;69;75,905;94;90,884;118,0;123,0;9,451429893;19;87,697;0,0363;0,104
359;Alimentos y bebidas;Aceite de girasol;Tata;Envase 900 cc;86;97;97;99;98,29;99,0;99,0;0,957108357;2;97,468;0,0084;0,0097
361;Alimentos y bebidas;Aceite de girasol;Precio Líder;Envase 900 cc;90;85;85;99;95,317;99,0;99,0;6,165400056;14;90,512;0,0531;0,0647
365;Alimentos y bebidas;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;83;83;97;94,64;104,0;104,0;6,490927001;5;93,227;0,0152;0,0686
4;Alimentos y bebidas;Aceite de maíz;Delicia;Envase 900 cc;407;79;98;129;124,992;140,0;154,4;9,825165284;10;121,704;0,027;0,0786
5;Alimentos y bebidas;Aceite de maíz;Río de la Plata;Envase 900 cc;420;110;129;140;144,975;165,0;166,0;11,42961886;10;145,653;-0,0047;0,0788
7;Alimentos y bebidas;Aceite de soja;Condesa;Envase 900 cc;392;55;60;69;70,033;83,0;97,0;5,732185488;10;68,713;0,0192;0,0818
8;Alimentos y bebidas;Aceite de soja;Río de la Plata;Envase 900 cc;428;48;59;69;70,887;85,0;93,0;8,069926344;17;69,731;0,0166;0,1138
9;Alimentos y bebidas;Aceite de soja;Salad;Envase 900 cc;93;58;58;75;74,59;99,0;99,0;3,677653508;0;71,436;0,0442;0,0493
10;Alimentos y bebidas;Agua de mesa con gas;Matutina;Envase 2,5 lt.;452;49;53,9;59;59,4;70,0;73,0;2,992506691;3;59,42;-0,0003;0,0504
11;Alimentos y bebidas;Agua de mesa con gas;Nativa;Envase 2,5 lt.;381;59;68;73;73,483;85,0;85,0;3,010101449;1;73,801;-0,0043;0,041
12;Alimentos y bebidas;Agua de mesa con gas;Salus;Envase 2,25 lt.;569;63;65;74;75,312;80,0;81,5;3,680725735;6;75,702;-0,0052;0,0489
366;Alimentos y bebidas;Agua de mesa sin gas;Salus;Envase 2,25lt.;562;63;65;74;75,318;80,0;81,5;3,686586619;6;75,698;-0,005;0,0489
367;Alimentos y bebidas;Agua de mesa sin gas;Matutina;Envase 2,5lt.;404;49;53;59;59,206;70,0;73,0;2,903375684;3;59,233;-0,0005;0,049
368;Alimentos y bebidas;Agua de mesa sin gas;Vitale;Envase 2,5lt.;376;50;50;65;62,43;73,0;99,0;4,644522544;6;62,111;0,0051;0,0744
369;Alimentos y bebidas;Agua mineral sin gas;Salus;Envase 6,25lt.;553;109;122;137;138,936;147,0;159,0;6,373624093;10;139,406;-0,0034;0,0459
370;Alimentos y bebidas;Agua mineral sin gas;Nativa;Envase 6lt.;375;104,9;109;130;127,211;135,0;139,0;4,927994337;3;128,77;-0,0121;0,0387
13;Alimentos y bebidas;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;141;255;279;329;328,599;390,0;395,0;18,873427;17,99;311,701;0,0542;0,0574
14;Alimentos y bebidas;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;200;270;289;339;339,784;419,0;435,0;24,80639743;20;330,812;0,0271;0,073
15;Alimentos y bebidas;Arroz blanco;Blue Patna;Bolsa 1 kg.;395;55;60;79;75,872;85,0;89,0;6,61192807;10;74,324;0,0208;0,0871
16;Alimentos y bebidas;Arroz blanco;Green Chef;Bolsa 1 kg.;394;54;58;75;74,128;80,0;84,0;4,923610337;7,845;71,975;0,0299;0,0664
17;Alimentos y bebidas;Arroz blanco;Saman Blanco;Bolsa 1 kg.;447;56;58;82;79,149;89,0;92,6;7,124499894;10,1;80,238;-0,0136;0,09
18;Alimentos y bebidas;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;269;35;38;49;48,643;59,0;75,0;4,50755305;4;49,159;-0,0105;0,0927
19;Alimentos y bebidas;Arroz blanco;Pony;Bolsa 1 kg.;52;31;31;39;38,577;59,0;59,0;4,882191351;3;38,577;0;0,1266
20;Alimentos y bebidas;Arroz blanco;Vidarroz;Bolsa 1 kg.;238;33;35;55;52,238;60,0;60,0;7,038000192;15;51,49;0,0145;0,1347
22;Alimentos y bebidas;Arvejas en conserva;Cololó;Lata 380 grs.;364;29;35;49;47,934;58,0;60,0;5,113708642;3;47,153;0,0166;0,1067
23;Alimentos y bebidas;Arvejas en conserva;Nidemar;Lata 300 grs.;164;19;22;37;33,657;37,0;39,0;4,068559889;5;33,452;0,0061;0,1209
24;Alimentos y bebidas;Azúcar blanco;Azucarlito;Paquete 1 kg.;404;44;51;55;55,651;65,0;72,0;2,208211039;0;55,871;-0,0039;0,0397
25;Alimentos y bebidas;Azúcar blanco;Bella Unión;Paquete 1 kg.;397;42;49;55;54,664;65,0;67,0;2,391114937;2;54,719;-0,001;0,0437
26;Alimentos y bebidas;Café envasado (no instantáneo);Águila;Paquete 250 grs.;431;193,9;193,9;277;272,489;336,0;347,0;24,62400683;5;270,206;0,0084;0,0904
