id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;367;103;103;118;118,5749889;140;160;6,481009587;7;119,0136093;-0,003685;0,054657476
2;Aceite de girasol;Río de la Plata;Envase 900 cc;349;89;108,982;139;137,8410194;165;173;11,24291596;15;137,3573455;0,003521;0,08156437
3;Aceite de girasol;Uruguay;Envase 900 cc;233;97;99;105;108,330782;125;146;6,137773145;8,16;109,6290613;-0,011842;0,056657702
4;Aceite de maíz;Delicia;Envase 900 cc;322;102;112;129;129,35382;160;162;8,218747706;9;128,6364167;0,005577;0,063536954
5;Aceite de maíz;Río de la Plata;Envase 900 cc;364;113,4;133;145;146,2856836;174;186;7,397156915;5;147,2459446;-0,006521;0,050566513
7;Aceite de soja;Condesa;Envase 900 cc;243;79;84,9;89;90,09823735;106;112;4,500894946;3;89,67437765;0,004727;0,049955416
8;Aceite de soja;Río de la Plata;Envase 900 cc;357;76;80;89;91,75604908;119;125;8,104587902;3;90,52456102;0,013604;0,08832756
9;Aceite de soja;Salad;Envase 900 cc;108;74;76;88;87,39788006;105;105;3,518105207;0;87,8615918;-0,005278;0,040253896
10;Agua de mesa con gas;Matutina;Envase 2 lt.;297;39;40;48;47,70356685;57;57;2,2145659;3;47,58743818;0,00244;0,046423487
11;Agua de mesa con gas;Nativa;Envase 2 lt.;222;48,8;50;59;59,19183651;65;70;2,017702169;1;59,09116361;0,001704;0,034087507
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;462;46;52;61;61,83280686;66;66;3,278910025;5;61,86049067;-0,000448;0,053028646
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;217;225;249;295;313,2988801;380;421;31,73193407;64;312,7978148;0,001602;0,101283267
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;212;229;250;329;343,7192128;429;440;41,92509704;80;338,2614121;0,016135;0,121974843
