id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;351;78;83;116;109,97;134;148;14,33234538;24;110,31;-0,003117;0,130335197
2;Aceite de girasol;Río de la Plata;Envase 900 cc;324;79;79;112;110,55;145;150;11,56884388;5,9;112,51;-0,017474;0,104651703
3;Aceite de girasol;Uruguay;Envase 900 cc;210;74;74;87,43;88,53;124;130;11,39893397;14;88,76;-0,002567;0,128752095
359;Aceite de girasol;Tata;Envase 900 cc;86;105;105;105;105,00;105;105;0;0;100,32;0,046656;0
361;Aceite de girasol;Precio Líder;Envase 900 cc;83;89;89;89;89,00;89;89;0;0;89,00;0;0
365;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;118;118;121;126,85;155;155;11,44607206;5;125,80;0,00834;0,090235443
4;Aceite de maíz;Delicia;Envase 900 cc;297;95;95;129;120,88;164;167;17,23405983;33,1;120,17;0,005953;0,142566305
5;Aceite de maíz;Río de la Plata;Envase 900 cc;321;102;124;142;143,30;171;175;8,295289172;7;143,33;-0,000185;0,057887724
7;Aceite de soja;Condesa;Envase 900 cc;287;55;55;75;69,85;97;102;9,419794272;16;69,40;0,006497;0,134857464
8;Aceite de soja;Río de la Plata;Envase 900 cc;328;55;55;69;68,96;105;105;11,5387173;20;66,63;0,035028;0,16732456
9;Aceite de soja;Salad;Envase 900 cc;15;79;79;84,41;81,96;85;85;2,783674483;5,41;80,90;0,013186;0,03396216
318;Afeitadora;Gillette;2 unidades;431;369;399;522;524,54;596;614;43,64956975;37;521,79;0,00527;0,083214702
319;Afeitadora;Xtreme3;1 unidad;396;70;70;109;107,02;162;162;21,15568787;21;107,07;-0,00053;0,197687139
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;344;47;49,9;54;54,67;64;67;2,675155916;2;54,45;0,003967;0,048931963
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;267;48;49;64;62,87;80;80;6,450408394;12;64,11;-0,019414;0,102604366
