id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
1;Alimentos y bebidas;Aceite de girasol;Óptimo;Envase 900 cc;457;87,9;89;102;104,981;131;137;10,56214073;7;102,244;0,027;0,1006
2;Alimentos y bebidas;Aceite de girasol;Río de la Plata;Envase 900 cc;364;89;99;119;118,57;139;149,07;8,66274345;8;116,314;0,019;0,0731
3;Alimentos y bebidas;Aceite de girasol;Uruguay;Envase 900 cc;316;71;76;91;90,242;120;126;9,099020824;11;88,848;0,016;0,1008
4;Alimentos y bebidas;Aceite de maíz;Delicia;Envase 900 cc;407;64,9;98;129;126,973;155;167;10,73330173;0;125,369;0,013;0,0845
5;Alimentos y bebidas;Aceite de maíz;Río de la Plata;Envase 900 cc;366;113,4;128;140;141,628;165;168;6,729648054;4;142,316;-0,005;0,0475
7;Alimentos y bebidas;Aceite de soja;Condesa;Envase 900 cc;391;59;59;73;73,952;98;98;7,607965837;9;72,116;0,025;0,1029
8;Alimentos y bebidas;Aceite de soja;Río de la Plata;Envase 900 cc;420;48;61;79;76,622;90;105;8,940327886;14;74,681;0,026;0,1167
9;Alimentos y bebidas;Aceite de soja;Salad;Envase 900 cc;10;29,9;29,9;69;72,362;105;105;19,4949978;6;72,362;0;0,2694
10;Alimentos y bebidas;Agua de mesa con gas;Matutina;Envase 2,5 lt.;452;46;50;59;59,278;70;74;3,123867864;3;59,143;0,002;0,0527
11;Alimentos y bebidas;Agua de mesa con gas;Nativa;Envase 2,5 lt.;379;59;62;74;73,642;85;89;3,121858664;1;73,462;0,002;0,0424
12;Alimentos y bebidas;Agua de mesa con gas;Salus;Envase 2,25 lt.;563;63;64;74;75,278;80;80;3,754092898;6;75,435;-0,002;0,0499
13;Alimentos y bebidas;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;135;269;279;342;341,774;390;395;20,19905021;10;341,642;0;0,0591
14;Alimentos y bebidas;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;189;199;289;325;332,071;425;429;31,05153349;36;341,698;-0,028;0,0935
