id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;364;102,5;106;118;117,2363686;134;139;5,297135895;7,13;116,078758;0,009973;0,045183384
2;Aceite de girasol;Río de la Plata;Envase 900 cc;343;105;114;139;135,1850133;148;153;8,497621653;11;135,1127949;0,000534505;0,062983324
3;Aceite de girasol;Uruguay;Envase 900 cc;237;86;95;105;107,4489412;123;144;5,137099144;3,6;107,2839236;0,001538;0,047809677
4;Aceite de maíz;Delicia;Envase 900 cc;316;97;107,9;121;122,7442247;139;149;6,738855668;9,9;121,6974356;0,008602;0,054901611
5;Aceite de maíz;Río de la Plata;Envase 900 cc;355;102;128;139,9;141,0908686;155;172;4,999929705;4;139,2772103;0,013022;0,035437656
7;Aceite de soja;Condesa;Envase 900 cc;240;76;77,9;84;84,9552549;99;106;3,492945094;5;83,57159957;0,016557;0,041115115
8;Aceite de soja;Río de la Plata;Envase 900 cc;355;66;71;89;89,73837376;104;112;7,057889958;7;87,95704888;0,020252;0,078649631
9;Aceite de soja;Salad;Envase 900 cc;98;75;78;84;83,46074922;86;86;1,495640113;2;78,82463783;0,058816;0,017920281
10;Agua de mesa con gas;Matutina;Envase 2 lt.;296;40;44,9;48;47,74542804;52;53;1,735025061;2,01;47,07406842;0,014262;0,036339083
11;Agua de mesa con gas;Nativa;Envase 2 lt.;205;48,8;50;58;58,758286;65;67;2,174590639;2;58,6724979;0,001462152;0,037069741
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;447;49,9;55,9;61;62,41484406;66;69;2,438975389;5;61,19924952;0,019863;0,039076848
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;218;219;219;269;289,1307574;349;421;47,31469968;95;290,705174;-0,005416;0,163644643
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;213;259;279;339;345,6041178;400;419;32,62870079;60;350,8697889;-0,015007479;0,094410625
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;325;39;42,9;61;59,99232175;66;66;4,671746595;4;58,97603042;0,017232;0,077872409
16;Arroz blanco;Green Chef;Bolsa 1 kg.;325;39;43;54;53,21813995;61;63;3,479376934;1,9;53,25173447;-0,000630862;0,065701162
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;384;41,9;45;58;56,20502698;60;62;3,59516311;3,1;56,53906621;-0,005908114;0,064168182
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;220;28;28;36;35,74433358;48;48;4,246849324;3;34,61460005;0,032637;0,11881182
19;Arroz blanco;Pony;Bolsa 1 kg.;25;24;24;36;36,16;52;52;6,787591061;7;36,16;0;0,18770993
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;220;29;33;45;43,24847347;52,5;52,5;6,31694218;7;43,31363636;-0,001504;0,146061622
22;Arvejas en conserva;Cololó;Lata 380 grs.;300;24;24;37;37,53326261;44;45;3,049715894;1;36,33467483;0,032987;0,081253685
23;Arvejas en conserva;Nidemar;Lata 300 grs.;258;17;17;25;22,91281445;30;31;4,29519707;9;22,53585672;0,016727;0,187458292
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;267;38;38;46;44,32594449;52;58;3,911306534;3;44,23353511;0,002089;0,088239666
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;335;38;39,9;46;46,26700713;51;54;1,723060894;3;45,86736648;0,008713;0,037241676
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;382;114;116;141;141,8723207;157,06;169;8,051957508;10;141,8809192;-6,10E-05;0,056754957
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;384;141,1;149;167;167,5395475;186;197;8,547410929;14,1;167,3086522;0,00138;0,051017274
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;127;99;99;120,9;123,4093392;147;150;7,371049158;8,1;121,9700328;0,0118;0,059728455
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;222;295;299;369;347,0107323;418;439;37,46822737;81;346,935043;0,000218;0,107974261
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;211;219;219;284;284,8406971;349;349;56,41154286;130;281,304565;0,01257;0,198045937
31;Cerveza;Patricia;Botella 960 ml.;377;99;99;135;126,005267;142;146;12,808936;20;126,4835479;-0,003781368;0,102312823
32;Cerveza;Pilsen;Botella 960 ml.;246;103;108;120;120,2033124;129;132;3,78584389;0,1;118,3725445;0,015466;0,031495337
33;Cerveza;Zillertal;Botella 1 lt.;350;107;113;150;144,3711381;164;166;10,91438879;10;141,0666067;0,023425;0,07559952
34;Champú;Fructis;Envase 350 ml.;460;161;161;279;271,4486665;324,393198;324,393198;25,19942041;19,1;269,2283745;0,008247;0,092833097
35;Champú;Sedal;Envase 350 ml.;357;119;119;201;202,2209183;218;222;14,4848731;14;202,3293666;-0,000536;0,071628955
36;Champú;Suave;Envase 930 ml.;352;99;99;188;183,9462756;206;218;16,97981328;22;183,0810663;0,004726;0,092308546
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;223;369;411;495;479,9875717;546;600;26,39566322;16;469,7000175;0,021902;0,054992389
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;202;329;365,5;459;451,2004982;506;540;26,38042259;10;451,276422;-0,000168;0,058467184
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;189;270;270;346;339,2299824;365;365;17,77712709;3;328,6388646;0,032227;0,052404351
40;Cocoa;Copacabana;Envase 500 grs.;213;102;102;158;156,5083634;179;186,5;13,90718414;10;153,0792177;0,022401;0,088859048
41;Cocoa;Vascolet;Envase 500 grs.;321;100;103;167;160,9483502;212;223;29,52824322;32;159,7258875;0,007654;0,183464094
42;Desodorante en aerosol;Axe Musk;Envase 113 grs.;210;101;106;140;136,8999846;160;167;10,6721542;1;131,3026054;0,04263;0,077955847
