id.presentacion;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
1;Aceite de girasol;Óptimo;Envase 900 cc;454;79;83;99;99,89;119;139;7,570500694;5;99,99;-0,0010;0,0758
2;Aceite de girasol;Río de la Plata;Envase 900 cc;426;75;83;112;111,88;145;149,07;11,95120275;11;115,18;-0,0287;0,1068
3;Aceite de girasol;Uruguay;Envase 900 cc;318;69;74;89;86,34;116,68;123;8,902393321;15;88,08;-0,0198;0,1031
359;Aceite de girasol;Tata;Envase 900 cc;86;94;95;98;98,18;99;113;1,319104275;0;98,63;-0,0046;0,0134
361;Aceite de girasol;Precio Líder;Envase 900 cc;90;85;85;99;98,53;99;99;2,513542424;0;99,00;-0,0047;0,0255
365;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;97;97;97;98,13;102;102;1,398530357;2;118,05;-0,1688;0,0143
4;Aceite de maíz;Delicia;Envase 900 cc;402;84;89;129;119,27;140;154,35;15,31723814;23,67;119,64;-0,0031;0,1284
5;Aceite de maíz;Río de la Plata;Envase 900 cc;420;113,4;130;146,9;147,96;167;167;8,678972897;12;147,04;0,0063;0,0587
7;Aceite de soja;Condesa;Envase 900 cc;389;52;55;67;66,57;82;97;9,367666917;20;66,39;0,0027;0,1407
8;Aceite de soja;Río de la Plata;Envase 900 cc;425;49;55;69;68,95;92;99;10,90871788;20;70,71;-0,0249;0,1582
9;Aceite de soja;Salad;Envase 900 cc;96;55;55;79;72,19;99;99;10,05976222;14;78,09;-0,0755;0,1394
318;Afeitadora;Gillette;2 unidades;431;379;399;522;508,27;596;614;58,30920276;108;520,32;-0,0232;0,1147
319;Afeitadora;Xtreme3;1 unidad;548;70;70;109;117,52;174;174;30,1602464;20,1;116,39;0,0098;0,2566
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;457;47;50;57;58,22;68;71;3,351248753;2;58,41;-0,0032;0,0576
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;371;52;59;72;71,88;83;86;3,079360561;0,1;71,87;0,0002;0,0428
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;551;60;63;72;73,49;80;86;3,660750341;5;72,98;0,0070;0,0498
366;Agua de mesa sin gas;Salus;Envase 2,25lt.;546;60;63;72;73,51;80;86;3,687042167;5;73,01;0,0068;0,0502
367;Agua de mesa sin gas;Matutina;Envase 2,5lt.;401;47;50;57;58,06;70;71;3,255653255;2;58,09;-0,0005;0,0561
