id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;417;87;89;119;118,2290005;165;165;17,88444292;22,1;118,8631255;-0,005335;0,15126951
361;Aceite de girasol;Precio Líder;Envase 900 cc;84;89;89;99;98,70793651;118;125;5,671748772;0;94,46031746;0,044967;0,057459906
2;Aceite de girasol;Río de la Plata;Envase 900 cc;391;99;99;149;148,4596338;167;167;15,10260305;26;151,1955425;-0,018095;0,101728683
359;Aceite de girasol;Tata;Envase 900 cc;86;79;79;130;114,9302326;130;130;18,35591683;31;129,8430233;-0,114852;0,159713562
365;Aceite de girasol;Tienda Inglesa;Envase 900 cc;15;89;89;108;108,18;142;142;15,6101175;27;98,40473118;0,099337;0,144297629
3;Aceite de girasol;Uruguay;Envase 900 cc;204;74,9;75;89,87;89,08579169;123;139;10,41938118;16;96,00878524;-0,072108;0,116958956
4;Aceite de maíz;Delicia;Envase 900 cc;366;94;94,9;132,9;130,1411545;164;168;20,7145143;28,01;134,6567459;-0,033534;0,159169591
5;Aceite de maíz;Río de la Plata;Envase 900 cc;392;99;119;149;150,7611287;171;172;9,951257136;12;151,7045037;-0,006219;0,066006783
7;Aceite de soja;Condesa;Envase 900 cc;357;58;59;75;74,31583695;97;105;7,141347228;11;77,11711558;-0,036325;0,096094554
8;Aceite de soja;Río de la Plata;Envase 900 cc;367;59;59;79;81,29922578;113;122;17,00134105;27;88,1530131;-0,077749;0,209120578
9;Aceite de soja;Salad;Envase 900 cc;97;69;69,0801;72;72,57108984;104,4;105;3,813889814;0;72,70041237;-0,001779;0,052553845
318;Afeitadora;Gillette;2 unidades;421;311,1;389;500;502,7522196;561;587;40,18722886;35;504,0186573;-0,002513;0,079934463
319;Afeitadora;Xtreme3;1 unidad;471;65;69;114;107,1290211;147;150;25,41763706;22;106,5622191;0,005319;0,237261918
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;415;35;35;54;49,45029355;60;65;7,69137781;13;52,55246119;-0,05903;0,155537556
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;289;42;48;67;62,78612758;72;77;7,76662141;8;67,21992268;-0,06596;0,123699641
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;515;48,9;50;69;65,76423353;74;82;8,717944937;14;70,70306213;-0,069853;0,132563621
367;Agua de mesa sin gas;Matutina;Envase 2,5lt.;357;35;35;54;49,783929;60;65;7,706717565;15;54,30296399;-0,083219;0,154803321
366;Agua de mesa sin gas;Salus;Envase 2,25lt.;500;48,9;50;69;65,74638916;74;82;8,736538597;14;70,25857717;-0,064223;0,132882409
368;Agua de mesa sin gas;Vitale;Envase 2,5lt.;345;44;44;54,01;56,85987896;70;80;6,989407769;11;57,98594513;-0,01942;0,122923367
370;Agua mineral sin gas;Nativa;Envase 6lt.;339;76,9;81,5;115;108,2875847;129;141;14,1235205;14;111,0523352;-0,024896;0,130426037
369;Agua mineral sin gas;Salus;Envase 6,25lt.;498;88;89;129;123,5147162;138;150;17,64243232;5;131,0577903;-0,057555;0,142836683
345;Agua oxigenada 10 volumen;Droguería Paysandú;100 ml.;142;61;61;61;61;61;61;0;0;61;0;0
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;150;259;259;299;299,3539365;355;362;18,78298788;9;297,9028473;0,004871;0,062745084
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;139;249;249;259;283,7338647;403;405;48,52940766;50;287,2585375;-0,01227;0,171038475
347;Alcohol en gel;Bioset;250 ml.;109;93;95;142;132,1811927;159;159;15,09161087;13;132,1811927;0;0,114173662
346;Alcohol rectificado;Droguería Paysandú;250 ml.;157;77;77;85;84,69871795;88;92;1,578302357;0;84,69871795;0;0,018634312
348;Algodón;Zig Zag Cisne;100 gramos;555;92;95;123;134,5307512;187;187;31,30787191;69;133,9323861;0,004468;0,232719074
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;246;30;30;39;39,37540777;60;63;5,404486669;3;39,60098826;-0,005696;0,137255383
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;360;48;49;67;63,34506028;83;83;8,939169318;16;64,20041421;-0,013323;0,141118649
16;Arroz blanco;Green Chef;Bolsa 1 kg.;354;47;48,9;57;59,66445541;77;77;5,955701886;6;57,62263575;0,035434;0,099819932
19;Arroz blanco;Pony;Bolsa 1 kg.;40;31;31;39;40,825;59;59;6,459035809;1;40,825;0;0,158212757
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;418;49;49;63;62,21661174;68;72;4,415615811;6;61,56839624;0,010528;0,070971654
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;170;30;34;41;39,73647059;50;55;4,038737132;6;38,76058824;0,025177;0,101638044
22;Arvejas en conserva;Cololó;Lata 380 grs.;328;29;35;43;46,12730067;58;60;6,859675548;15;47,0126343;-0,018832;0,148711835
23;Arvejas en conserva;Nidemar;Lata 300 grs.;144;20;20;32;31,991788;37;37;5,393520207;9,39;31,55843563;0,013732;0,168590771
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;351;47;49;60;57,36406567;65,5;72;4,224099319;6;54,85500973;0,04574;0,07363668
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;357;48;49;59,9;58,96045948;62;65;2,942716807;2;56,16624184;0,049749;0,049910005
257;Banana Brasil;;1 kg.;181;62;66,85;78;76,82920385;99;115;5,283586733;4;76,81488867;0,000186;0,068770552
255;Banana Ecuador;;1 kg.;143;75;75;102;104,1621968;130;132;10,5444197;3;105,3830711;-0,011585;0,101230773
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;302;199;199;248;248,9173483;293;317;12,9749383;8;247,3192207;0,006462;0,052125488
