id.presentacion;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.Mens;C.V.
1;Aceite de girasol;Óptimo;Envase 900 cc;453;76,931;76,931;99;99,97;129;144;10,16988342;5;100,99;-0,0100;0,1017
2;Aceite de girasol;Río de la Plata;Envase 900 cc;426;75;79;112;115,47;145;146;10,94931682;15;114,72;0,0065;0,0948
3;Aceite de girasol;Uruguay;Envase 900 cc;317;69;69;89;88,13;118;123;11,16436612;14;87,95;0,0020;0,1267
359;Aceite de girasol;Tata;Envase 900 cc;86;88;88;99;98,63;99;101;1,525408197;0;89,16;0,1063;0,0155
361;Aceite de girasol;Precio Líder;Envase 900 cc;90;99;99;99;99,00;99;99;0;0;93,58;0,0579;0
365;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;110;110;115;118,05;133;133;7,223616826;6;110,16;0,0717;0,0612
4;Aceite de maíz;Delicia;Envase 900 cc;400;82;84;121;118,94;140;148;13,68503787;23,5;118,95;-0,0001;0,1151
5;Aceite de maíz;Río de la Plata;Envase 900 cc;420;113,4;130;146;147,06;159;166;7,873763928;6,9;146,67;0,0026;0,0535
7;Aceite de soja;Condesa;Envase 900 cc;388;51;54;66;66,24;85;97;8,854182259;16;67,51;-0,0188;0,1337
8;Aceite de soja;Río de la Plata;Envase 900 cc;425;49;54;69;70,51;92;99;12,17162836;20;65,71;0,0732;0,1726
9;Aceite de soja;Salad;Envase 900 cc;96;55;55;79;78,40;85,23;99;4,692179919;0;78,26;0,0018;0,0599
318;Afeitadora;Gillette;2 unidades;430;379;399;522;522,36;596;614;50,17885975;35;523,32;-0,0018;0,0961
319;Afeitadora;Xtreme3;1 unidad;505;70;70;117;117,11;174;174;30,11889172;20,1;115,48;0,0141;0,2572
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;457;46;50;57;58,37;68;71;3,479414036;3;57,66;0,0123;0,0596
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;372;52;56;72;71,66;83;87;3,150016453;0,1;71,64;0,0002;0,044
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;550;58;63;72;72,99;80;84;3,544806411;5;73,29;-0,0040;0,0486
366;Agua de mesa sin gas;Salus;Envase 2,25lt.;545;58;63;72;73,02;80;84;3,536188208;5;73,32;-0,0042;0,0484
367;Agua de mesa sin gas;Matutina;Envase 2,5lt.;403;46;50;57;58,00;70;71;3,292748275;2;57,36;0,0111;0,0568
368;Agua de mesa sin gas;Vitale;Envase 2,5lt.;379;49;50,01;65;62,95;73;80;3,679699528;6;63,27;-0,0051;0,0585
369;Agua mineral sin gas;Salus;Envase 6,25lt.;538;107;107;134;135,33;144;144;8,01301014;10;135,16;0,0013;0,0592
370;Agua mineral sin gas;Nativa;Envase 6lt.;371;99;109;129;126,72;140;141;5,843845897;4;125,37;0,0108;0,0461
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;141;259;259;299;300,45;365;390;18,43063801;9;299,46;0,0033;0,0613
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;131;219;219;259;282,02;379;389;38,89069816;43;275,08;0,0252;0,1379
347;Alcohol en gel;Bioset;250 ml.;106;99;99;142;134,33;159;159;12,83050813;13;134,33;0,0000;0,0955
