id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;410;95;95;132;129,7542027;148;155;9,61042301;14;130,8392571;-0,008293;0,074066372
2;Aceite de girasol;Río de la Plata;Envase 900 cc;373;104;117;149;150,6487205;178;183;14,85327615;10;156,2481583;-0,035837;0,098595435
3;Aceite de girasol;Uruguay;Envase 900 cc;220;85;85;115;113,5209507;148;148;13,0069231;13,1;115,3309718;-0,015694;0,114577292
4;Aceite de maíz;Delicia;Envase 900 cc;361;102;106;147;144,8741347;164;169;10,34586018;16;144,9090488;-0,000241;0,071412749
5;Aceite de maíz;Río de la Plata;Envase 900 cc;392;102;102;149;150,7427491;175;179;11,99382073;20;150,7882234;-0,000302;0,079564827
7;Aceite de soja;Condesa;Envase 900 cc;348;69;69;79;78,61740823;104;113;9,348679665;13;81,63470385;-0,036961;0,118913608
8;Aceite de soja;Río de la Plata;Envase 900 cc;383;69;69;88;93,08782672;130;130;17,0544184;16;95,82229026;-0,028537;0,183207826
9;Aceite de soja;Salad;Envase 900 cc;92;69;70;72;73,01123188;105;105;5,724609484;3;73,53379658;-0,007106;0,078407244
10;Agua de mesa con gas;Matutina;Envase 2 lt.;180;47;47;50;51,02062673;63;66;2,909278435;2;50,97004082;0,000992;0,057021613
11;Agua de mesa con gas;Nativa;Envase 2 lt.;255;54;55,9;64;63,89802657;71;80;2,406959113;1;64,18212077;-0,004426;0,037668755
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;506;56;56;66;67,11066837;71;74;2,929434974;5;67,21766006;-0,001592;0,043650809
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;148;219;239;256;265,2204164;355;355;27,46710644;35;259,4081985;0,022406;0,103563318
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;141;239;239;289;291,8178852;409;429;48,27549984;50;288,534371;0,01138;0,16543023
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;348;47,9;49;63;62,91457402;73;73;7,415510184;14;63,58408195;-0,010529;0,117866334
16;Arroz blanco;Green Chef;Bolsa 1 kg.;349;45;45;55;56,90185517;72;72;6,097455871;6;57,15101251;-0,00436;0,107157418
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;416;46,9;49;64;62,04313547;69;77;5,018395295;6;61,55639217;0,007907;0,080885585
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;238;30;30;39;38,60512164;60;63;6,087330836;3;38,38506611;0,005733;0,157681949
19;Arroz blanco;Pony;Bolsa 1 kg.;40;31;31;39;40,825;59;59;6,481483181;1;40,821875;7,70E-05;0,158762601
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;160;29;33;39;38,525;48;50;4,095899463;7;39,33418269;-0,020572;0,106317961
22;Arvejas en conserva;Cololó;Lata 380 grs.;316;24;24;43;44,98615708;58;60;6,220634017;6,83;45,71359174;-0,015913;0,138278849
23;Arvejas en conserva;Nidemar;Lata 300 grs.;146;19;19;26;26,73915893;32;33;3,685252903;6;26,95960881;-0,008177;0,137822319
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;287;45;47;55;54,01764436;64;67;2,688724348;1;53,92939144;0,001636;0,049774928
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;350;45;50;55;54,47386912;64;65;1,990675704;2;54,50451292;-0,000562;0,036543681
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;313;210;210;255;255,6018994;302;317;14,49915854;12;254,6046016;0,003917;0,056725551
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;406;225;228;274;268,0580605;330;350;31,72339607;53;288,9004682;-0,072144;0,118345242
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;152;165;174,9;204,9;203,2992396;239;253;9,740964905;14,1;202,7296429;0,00281;0,047914419
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;148;309;329;389;387,9950849;431;445;23,81119365;12;386,1746953;0,004714;0,061369833
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;146;215;230;285;294,4828644;369;389;26,29763955;14;292,8281573;0,005651;0,089301086
31;Cerveza;Patricia;Botella 960 ml.;411;119;120;150;147,5605334;159;173;7,907193142;3;147,9387479;-0,002557;0,053586098
32;Cerveza;Pilsen;Botella 960 ml.;281;115;119;136;134,0757747;149;155;5,9725463;1;131,6444737;0,018469;0,044546051
33;Cerveza;Zillertal;Botella 1 lt.;380;130;149;170;167,2068036;185;201;8,518794853;0,1;167,4514574;-0,001461;0,050947657
34;Champú;Fructis;Envase 350 ml.;513;229;249;343;326,5277207;385;456;25,66564213;38;324,5428907;0,006116;0,078601725
35;Champú;Sedal;Envase 350 ml.;182;175;179;227;221,2967919;244,9;255;14,95279281;19;221,2335165;0,000286;0,067568954
