id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.;;;;
1;Aceite de girasol;Óptimo;Envase 900 cc;367;82;83;99;103,56;143;144;12,13026388;12;110,10;-0,0594;0,117126999;;;;
2;Aceite de girasol;Río de la Plata;Envase 900 cc;336;79;79;112;109,81;145;146;11,3399647;6;110,44;-0,0057;0,103270195;;;;
3;Aceite de girasol;Uruguay;Envase 900 cc;229;69;69;89;88,39;129;129;11,3774161;16;88,56;-0,002;0,128724829;;;;
4;Aceite de maíz;Delicia;Envase 900 cc;306;83;83;129;120,52;159;164;16,50531143;25;120,76;-0,002;0,136955745;;;;
5;Aceite de maíz;Río de la Plata;Envase 900 cc;324;102;107;143;143,83;171;171;9,819130043;10,9;143,08;0,0052;0,068270463;;;;
7;Aceite de soja;Condesa;Envase 900 cc;298;52;54,9;75;68,51;97;99;8,672641739;14;69,93;-0,0203;0,126583861;;;;
8;Aceite de soja;Río de la Plata;Envase 900 cc;242;50;50;69;66,51;89;93;9,810681806;13;68,37;-0,0271;0,147497465;;;;
9;Aceite de soja;Salad;Envase 900 cc;17;78;78;79;81,79;85;85;2,831435111;5,41;81,79;0;0,034618656;;;;
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;353;43;47;54;54,71;64,23;67;3,144606681;4;54,68;0,0006;0,057475938;;;;
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;273;48;49;57;62,51;80;80;6,435978875;11;62,92;-0,0065;0,102960925;;;;
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;455;55;60;70;71,01;77;81;3,898410763;5;70,29;0,0103;0,054897209;;;;
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;133;219;239;269;270,45;355;365;23,45252078;25;259,28;0,0431;0,086717781;;;;
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;122;199;199;239;257,93;364;364;44,86177285;64;276,87;-0,0684;0,17393151;;;;
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;296;52;52;74,9;72,02;85;86;7,82851659;11;72,39;-0,0051;0,108696588;;;;
16;Arroz blanco;Green Chef;Bolsa 1 kg.;295;49;49;62;63,36;85;85;6,936960246;3;63,82;-0,0073;0,109493425;;;;
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;355;53;53,9;75;71,74;81;83;6,435333274;8;72,35;-0,0085;0,089707335;;;;
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;177;30;30;43;44,91;74;74;8,3182395;3,72;44,94;-0,0007;0,185220848;;;;
19;Arroz blanco;Pony;Bolsa 1 kg.;40;31;31;39;40,83;59;59;6,379640274;1;40,83;0;0,15626798;;;;
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;157;30;30;35;38,91;57;60;7,697444046;13;41,14;-0,0543;0,197838424;;;;
22;Arvejas en conserva;Cololó;Lata 380 grs.;260;29;34;44;44,62;59;60;4,97297828;5;44,32;0,0069;0,111442914;;;;
