id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
1;Alimentos y bebidas;Aceite de girasol;Óptimo;Envase 900 cc;457;87,9;89;102;103,194;131;137;8,159747131;6;104,981;-0,017;0,0791
2;Alimentos y bebidas;Aceite de girasol;Río de la Plata;Envase 900 cc;364;89;99;119;119,434;139;149,07;6,575892244;7;118,57;0,007;0,0551
3;Alimentos y bebidas;Aceite de girasol;Uruguay;Envase 900 cc;316;73;75;91,49;92,291;120;126;7,777595936;8;90,242;0,023;0,0843
4;Alimentos y bebidas;Aceite de maíz;Delicia;Envase 900 cc;407;64,9;98;129;127,093;157;167;10,69676272;0;126,973;0,001;0,0842
5;Alimentos y bebidas;Aceite de maíz;Río de la Plata;Envase 900 cc;368;113,4;128;140;141,24;165;168;6,077000036;4;141,628;-0,003;0,043
7;Alimentos y bebidas;Aceite de soja;Condesa;Envase 900 cc;391;59;59;73;74,109;98;98;7,0275519;9;73,952;0,002;0,0948
8;Alimentos y bebidas;Aceite de soja;Río de la Plata;Envase 900 cc;421;48;62;79;77,154;90;105;8,668695296;13;76,622;0,007;0,1124
9;Alimentos y bebidas;Aceite de soja;Salad;Envase 900 cc;10;29,9;29,9;69;71,38;105;105;19,49161765;6;72,362;-0,014;0,2731
10;Alimentos y bebidas;Agua de mesa con gas;Matutina;Envase 2,5 lt.;452;46;53;59;59,35;70;73;2,994540664;3;59,278;0,001;0,0505
11;Alimentos y bebidas;Agua de mesa con gas;Nativa;Envase 2,5 lt.;379;59;68;74,9;74,441;86;89;2,978150597;1;73,642;0,011;0,04
12;Alimentos y bebidas;Agua de mesa con gas;Salus;Envase 2,25 lt.;563;63;65;74;75,53;80;80;3,193487562;4;75,278;0,003;0,0423
13;Alimentos y bebidas;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;135;269;289;379;368,735;395;395;29,3099652;42;341,774;0,079;0,0795
14;Alimentos y bebidas;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;189;260;279;289;318,676;415;429;36,0859792;56;332,071;-0,040;0,1132
15;Alimentos y bebidas;Arroz blanco;Blue Patna;Bolsa 1 kg.;389;42;50;75;74,316;85;89;6,911576728;10;75,076;-0,010;0,093
16;Alimentos y bebidas;Arroz blanco;Green Chef;Bolsa 1 kg.;394;47;53,2;75;73,669;80;84,98;5,603670591;10;73,769;-0,001;0,0761
17;Alimentos y bebidas;Arroz blanco;Saman Blanco;Bolsa 1 kg.;442;50;57;82;78,641;88;92,59;7,395016755;10;79,969;-0,017;0,094
18;Alimentos y bebidas;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;266;29;38;49;49,919;63;66;5,366922298;7;50,724;-0,016;0,1075
19;Alimentos y bebidas;Arroz blanco;Pony;Bolsa 1 kg.;63;24;24;36;36,143;59;59;6,908993562;5;38,577;-0,063;0,1912
20;Alimentos y bebidas;Arroz blanco;Vidarroz;Bolsa 1 kg.;237;21;21;40;42,349;60;60;13,93524904;33;48,943;-0,135;0,3291
22;Alimentos y bebidas;Arvejas en conserva;Cololó;Lata 380 grs.;365;24;34;47;46,818;58;60;5,73212162;8,45;46,731;0,002;0,1224
23;Alimentos y bebidas;Arvejas en conserva;Nidemar;Lata 300 grs.;164;19;22;30;30,181;32,66;39;2,242134119;2;30,189;0,000;0,0743
24;Alimentos y bebidas;Azúcar blanco;Azucarlito;Paquete 1 kg.;382;27;27;55;50,597;66;68;11,03430869;2;54,785;-0,076;0,2181
25;Alimentos y bebidas;Azúcar blanco;Bella Unión;Paquete 1 kg.;394;49;51;55;55,267;65;65;1,859016434;0,1;54,653;0,011;0,0336
26;Alimentos y bebidas;Café envasado (no instantáneo);Águila;Paquete 250 grs.;425;209;210;306;305,63;370;382;21,72977488;4;304,535;0,004;0,0711
27;Alimentos y bebidas;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;427;180;234;309;298,392;385;447;41,30050463;46;333,994;-0,107;0,1384
28;Alimentos y bebidas;Café envasado (no instantáneo);Saint;Paquete 250 grs.;176;109,9;109,9;199;170,527;232;233,34;47,68607799;89,1;171,552;-0,006;0,2796
29;Alimentos y bebidas;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;216;239;289;435;409,086;524;549;47,97561008;89;400,163;0,022;0,1173
30;Alimentos y bebidas;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;190;199;240;309;316,661;389;399;28,06191181;30;310,478;0,020;0,0886
31;Alimentos y bebidas;Cerveza;Patricia;Botella 960 ml.;421;120;140;177;173,956;191;195;10,05847952;0;174,693;-0,004;0,0578
