id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;321;62;67;80,9;82,96842744;99;114;5,858425475;8;83,50753224;-0,006456;0,070610299
2;Aceite de girasol;Río de la Plata;Envase 900 cc;298;59;60;84;83,9302708;111,9;114,9;9,999296401;12;82,87807247;0,012696;0,119138141
3;Aceite de girasol;Uruguay;Envase 900 cc;149;56;59,5;67,23;68,33486842;86;89;6,473255467;11;67,74020334;0,008779;0,09472844
4;Aceite de maíz;Delicia;Envase 900 cc;318;63,9;69;85;84,67811359;108;110;6,227734116;3,83;84,00778054;0,007979;0,073545971
5;Aceite de maíz;Río de la Plata;Envase 900 cc;403;62;62;96;99,25928001;119,9;123;18,42032699;37;98,47243967;0,00799;0,185577882
6;Aceite de maíz;Salad;Envase 900 cc;3;52;52;57,2;63,85666667;82,37;82,37;13,32476983;30,37;70,01622222;-0,087973;0,208666855
7;Aceite de soja;Condesa;Envase 900 cc;224;35;36,5;48;48,98624715;64;69;3,999495639;3;49,36904545;-0,007754;0,081645275
8;Aceite de soja;Río de la Plata;Envase 900 cc;299;30,5;36;52;52,63958385;69;69;4,871274107;3;52,28828594;0,006718;0,092540133
9;Aceite de soja;Salad;Envase 900 cc;122;35;36;49;46,92760132;50;50;3,746549007;6;47,55134426;-0,013117;0,079836789
10;Agua de mesa con gas;Matutina;Envase 2 lt.;119;24;25;35;41,93307012;50;50;6,690127551;12,1;42,67195238;-0,017315;0,159542994
11;Agua de mesa con gas;Nativa;Envase 2 lt.;193;34;40;53;53,12569543;56,9;63;3,268727031;3;53,61666667;-0,009157;0,061528174
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;416;39;49;53;53,42930016;56;62;1,931863862;4;53,56295927;-0,002495;0,036157387
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;141;195;223;245;246,5867731;307;330;14,64349428;6;250,7328042;-0,016536;0,059384752
