id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.;;
1;Aceite de girasol;Óptimo;Envase 900 cc;428;76;83;99;101,49;134;144;10,04877536;5;100,99;0,00499;0,099008577;;
2;Aceite de girasol;Río de la Plata;Envase 900 cc;401;78;79;112;111,57;145;145;11,06408549;15;109,72;0,01689;0,099164882;;
3;Aceite de girasol;Uruguay;Envase 900 cc;299;69;69;85;84,78;119;129;12,42808758;24;88,09;-0,03753;0,146584833;;
359;Aceite de girasol;Tata;Envase 900 cc;86;82;82;87;89,16;99;99;7,544259015;17;86,00;0,03676;0,084613614;;
361;Aceite de girasol;Precio Líder;Envase 900 cc;83;85;85;99;93,58;99;99;6,82053083;14;92,50;0,01169;0,07288399;;
365;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;92;92;110;110,16;133;133;10,84886243;11;118,01;-0,06654;0,098484657;;
4;Aceite de maíz;Delicia;Envase 900 cc;377;95;95;122;119,10;140;159;14,02534593;26,9;120,83;-0,01433;0,11776193;;
5;Aceite de maíz;Río de la Plata;Envase 900 cc;394;113,4;129;146;144,26;169;169;8,291659051;7,9;144,31;-0,00036;0,057478008;;
7;Aceite de soja;Condesa;Envase 900 cc;364;51;54,9;74;68,52;85;99;10,20468205;21;69,16;-0,0093;0,148935736;;
8;Aceite de soja;Río de la Plata;Envase 900 cc;398;49;55;65;65,25;89;97;9,417943017;16;65,89;-0,00979;0,144347274;;
9;Aceite de soja;Salad;Envase 900 cc;92;55;55;79;80,73;85;85,23;4,278496765;0;82,00;-0,01548;0,052997181;;
318;Afeitadora;Gillette;2 unidades;439;369;399;522;523,31;596;614;44,53848002;38;525,92;-0,00497;0,085109866;;
319;Afeitadora;Xtreme3;1 unidad;489;69;70;120;106,78;169;174;28,81045145;21;106,87;-0,00083;0,269809019;;
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;430;46;48,5;57;57,65;68;71;3,103940956;1;57,52;0,00233;0,053837014;;
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;350;52;58;72;71,54;83;87;3,021439351;0,1;69,58;0,02817;0,042234447;;
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;524;58;60;72;73,71;80;84;3,27208135;5;73,25;0,00629;0,044390875;;
366;Agua de mesa sin gas;Salus;Envase 2,25lt.;518;57;61;72;73,79;80;84;3,265317162;5;73,22;0,00784;0,044249241;;
367;Agua de mesa sin gas;Matutina;Envase 2,5lt.;376;47;50;57;57,37;68;71;2,546259602;1;57,08;0,00513;0,044380464;;
368;Agua de mesa sin gas;Vitale;Envase 2,5lt.;356;49;52;65;62,86;80;99;4,524023309;6;61,82;0,01677;0,071973834;;
369;Agua mineral sin gas;Salus;Envase 6,25lt.;511;109;116;134;135,65;144;147;7,560752566;10;137,27;-0,01182;0,055738425;;
370;Agua mineral sin gas;Nativa;Envase 6lt.;349;99;104;129;124,67;135;141;7,693237531;4;121,64;0,02488;0,061710317;;
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;134;229;249;299;299,09;359;365;19,05336682;9;291,68;0,0254;0,063704716;;
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;122;219;219;256;274,22;365;379;43,00716521;50;269,32;0,01819;0,156835467;;
347;Alcohol en gel;Bioset;250 ml.;108;95;95;142;133,64;159;159;13,75200374;13;133,64;0,00002;0,102901048;;
346;Alcohol rectificado;Droguería Paysandú;250 ml.;20;77;77;80;81,47;94,73;94,73;4,069868937;2;81,47;0,00005;0,049953172;;
348;Algodón;Zig Zag Cisne;100 gramos;570;92;97;125;135,48;187;187;31,6308099;69;135,80;-0,00236;0,233474331;;
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;367;52;55;75;73,04;85;87;6,951457271;3;71,10;0,02722;0,095179961;;
16;Arroz blanco;Green Chef;Bolsa 1 kg.;365;49;53;63;63,52;85;85;7,397055975;8;64,12;-0,00931;0,116447047;;
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;419;53;55;70,25;70,25;78;81;6,414022221;7;72,16;-0,02654;0,091309272;;
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;249;33;34;45;45,28;67;74;6,819599168;3;45,34;-0,00135;0,15061304;;
19;Arroz blanco;Pony;Bolsa 1 kg.;42;32;32;39;41,08;59;59;6,281462403;1;41,08;0;0,152919497;;
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;229;33;35;45,9;43,33;57;60;5,180314555;2;42,56;0,01819;0,119544873;;
22;Arvejas en conserva;Cololó;Lata 380 grs.;332;31;35;44;44,76;58;59;6,304201859;13;44,45;0,00686;0,14086101;;
