id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;349;65;75;87;86,86372174;103;105,2;6,345235924;7;83,71201201;0,037649;0,07304817
2;Aceite de girasol;Río de la Plata;Envase 900 cc;337;61,9;62;99;94,89084643;109,9;115;9,26585675;6,9;91,02115696;0,042514;0,09764753
3;Aceite de girasol;Uruguay;Envase 900 cc;178;60;60;72;74,00366812;89;91;7,887654445;8,1;70,84938025;0,044521;0,106584642
4;Aceite de maíz;Delicia;Envase 900 cc;338;63,9;79,9;92;91,4917342;105;113;5,699430905;7,1;87,44463453;0,046282;0,06229449
5;Aceite de maíz;Río de la Plata;Envase 900 cc;363;69;79;117;116,4290527;135;144,5;10,38808464;9,9;113,4117477;0,026605;0,089222444
6;Aceite de maíz;Salad;Envase 900 cc;5;45,9;45,9;52;57,294;82,37;82,37;13,47233212;8,2;57,294;0;0,235143857
7;Aceite de soja;Condesa;Envase 900 cc;263;36;36;55;54,4516608;64;70;5,761027821;6,1;50,94908718;0,068747;0,105800773
8;Aceite de soja;Río de la Plata;Envase 900 cc;337;40,5;49;63;63,12607767;79;79,9;6,10817434;6;55,89978686;0,129272;0,096761506
9;Aceite de soja;Salad;Envase 900 cc;104;38;39;58;55,23173077;58;58;5,871803887;0;51,92776055;0,063626;0,106312147
10;Agua de mesa con gas;Matutina;Envase 2 lt.;120;29;29,9;42;38,86226008;52;52;6,324622852;12,5;38,7805548;0,002107;0,162744597
11;Agua de mesa con gas;Nativa;Envase 2 lt.;190;47;47,342;57;58,25912281;65;65;3,368545685;5,5;58,13046325;0,002213;0,057820055
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;417;49;52;58;59,12037279;62;65;2,135793611;3;58,95048155;0,002882;0,036126186
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;220;189;189;239;234,4935156;349;349;50,60473291;20;244,7517775;-0,041913;0,215804402
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;217;219;229;258;297,8158492;379;379;53,59705734;56;266,5134455;0,117451;0,179967109
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;327;39;41;57;54,50624303;61;66;4,539955125;6;53,01678716;0,028094;0,083292388
16;Arroz blanco;Green Chef;Bolsa 1 kg.;329;34;39;49;48,5660981;57;58;4,033028631;6;47,72231603;0,017681;0,083042056
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;369;36,9;37;52,5;51,84963235;61;63;5,096077523;5;50,20098196;0,032841;0,098285702
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;206;25;26;35;33,23814725;38;38;2,775814325;3,1;32,78969934;0,013676;0,083512908
19;Arroz blanco;Pony;Bolsa 1 kg.;37;22;22;35;33,01261261;50;50;7,861638146;15;33,01351351;-2,70E-05;0,238140442
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;223;20;29;36;35,61330344;43;43;5,378560845;9;33,88276104;0,051074;0,151026732
22;Arvejas en conserva;Cololó;Lata 380 grs.;302;24;24;34;34,10088338;41,39;41,39;3,655097661;5;34,18281889;-0,002397;0,107184838
23;Arvejas en conserva;Nidemar;Lata 300 grs.;169;17;17,1;25;23,10822485;29;29,99;3,725962432;6;23,27618057;-0,007216;0,161239665
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;278;35,9;37;38;38,7348801;49;54;2,007508555;1;38,76032713;-0,000657;0,051826895
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;288;33;35;37;37,08675676;43;52;2,14056323;3;37,67000042;-0,015483;0,057717725
