id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
1;Alimentos y bebidas;Aceite de girasol;Óptimo;Envase 900 cc;456;83;89;99;100,024;119,0;129,0;6,18388331;4,42;99,611;0,0041;0,0618
2;Alimentos y bebidas;Aceite de girasol;Río de la Plata;Envase 900 cc;426;72;82;109;109,91;145,0;146,0;8,910412843;3;111,186;-0,0115;0,0811
3;Alimentos y bebidas;Aceite de girasol;Uruguay;Envase 900 cc;320;71,91;71,91;85;87,758;118,0;123,0;10,0494099;19,1;87,905;-0,0017;0,1145
359;Alimentos y bebidas;Aceite de girasol;Tata;Envase 900 cc;86;95;95;95;97,468;109,0;109,0;4,611183429;2;98,613;-0,0116;0,0473
361;Alimentos y bebidas;Aceite de girasol;Precio Líder;Envase 900 cc;90;85;85;85;90,512;99,0;99,0;6,841253499;14;98,06;-0,077;0,0756
365;Alimentos y bebidas;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;77,6;77,6;97;93,227;102,0;102,0;8,434783896;0;90,043;0,0354;0,0905
4;Alimentos y bebidas;Aceite de maíz;Delicia;Envase 900 cc;403;89;94,996;129;121,753;140,0;154,4;12,75840133;14;124,697;-0,0236;0,1048
5;Alimentos y bebidas;Aceite de maíz;Río de la Plata;Envase 900 cc;421;113,4;130;140;146,958;165,0;166,0;10,72601344;11;147,103;-0,001;0,073
7;Alimentos y bebidas;Aceite de soja;Condesa;Envase 900 cc;391;56;58;69;68,739;82,0;97,0;6,405930747;11;67,105;0,0243;0,0932
8;Alimentos y bebidas;Aceite de soja;Río de la Plata;Envase 900 cc;425;48;58;69;69,767;85,0;95,0;7,929625227;17;69,148;0,009;0,1137
9;Alimentos y bebidas;Aceite de soja;Salad;Envase 900 cc;93;45;49;75;71,397;99,0;99,0;7,622073594;6;72,76;-0,0187;0,1068
10;Alimentos y bebidas;Agua de mesa con gas;Matutina;Envase 2,5 lt.;451;49;52,076;59;59,422;70,0;73,0;2,992037753;3;59,53;-0,0018;0,0504
11;Alimentos y bebidas;Agua de mesa con gas;Nativa;Envase 2,5 lt.;380;59;68;74;73,805;85,0;88,0;3,004572602;1;73,873;-0,0009;0,0407
12;Alimentos y bebidas;Agua de mesa con gas;Salus;Envase 2,25 lt.;563;64,9;68,43;74;75,687;80,0;80,0;2,894673091;6;75,317;0,0049;0,0382
366;Alimentos y bebidas;Agua de mesa sin gas;Salus;Envase 2,25lt.;556;64,9;68;74;75,682;80,0;80,0;2,934060946;6;75,323;0,0048;0,0388
367;Alimentos y bebidas;Agua de mesa sin gas;Matutina;Envase 2,5lt.;403;49;51,9;59;59,234;70,0;73,0;2,91403165;3;59,348;-0,0019;0,0492
368;Alimentos y bebidas;Agua de mesa sin gas;Vitale;Envase 2,5lt.;377;50;52,5;65;62,087;67,0;99,0;4,53982486;6;62,851;-0,0122;0,0731
369;Alimentos y bebidas;Agua mineral sin gas;Salus;Envase 6,25lt.;547;109;119;137;139,373;147,0;147,0;5,867577236;10;138,033;0,0097;0,0421
370;Alimentos y bebidas;Agua mineral sin gas;Nativa;Envase 6lt.;374;104,9;115;130;128,779;135,0;139,0;3,42149047;1;128,839;-0,0005;0,0266
13;Alimentos y bebidas;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;140;249;255;308;311,138;375,0;390,0;19,54356091;20;305,08;0,0199;0,0628
14;Alimentos y bebidas;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;199;249;289;339;346,285;399,0;415,0;29,0893027;50;302,814;0,1436;0,084
15;Alimentos y bebidas;Arroz blanco;Blue Patna;Bolsa 1 kg.;395;52;60;75;74,29;85,0;91,0;7,166196277;13;75,001;-0,0095;0,0965
16;Alimentos y bebidas;Arroz blanco;Green Chef;Bolsa 1 kg.;392;55;59;74,9;71,98;80,0;84,0;5,359364651;8,59;71,613;0,0051;0,0745
17;Alimentos y bebidas;Arroz blanco;Saman Blanco;Bolsa 1 kg.;445;56;59,5;82;80,21;89,0;92,6;6,409356272;6;79,916;0,0037;0,0799
18;Alimentos y bebidas;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;268;35;38;48,79;49,212;59,0;75,0;4,698298231;6;50,629;-0,028;0,0955
19;Alimentos y bebidas;Arroz blanco;Pony;Bolsa 1 kg.;52;31;31;39;38,577;59,0;59,0;4,882241861;3;38,577;0;0,1266
20;Alimentos y bebidas;Arroz blanco;Vidarroz;Bolsa 1 kg.;238;33;40;55;51,443;60,0;60,0;6,681969419;8;52,808;-0,0258;0,1299
22;Alimentos y bebidas;Arvejas en conserva;Cololó;Lata 380 grs.;362;29;35;49;47,149;58,0;60,0;5,858898056;11,1;48,315;-0,0241;0,1243
23;Alimentos y bebidas;Arvejas en conserva;Nidemar;Lata 300 grs.;162;19;21;37;33,452;37,0;37,0;4,34904319;5;33,572;-0,0036;0,13
24;Alimentos y bebidas;Azúcar blanco;Azucarlito;Paquete 1 kg.;403;44;51;55;55,875;72,0;72,0;2,974904742;2,1;56,385;-0,009;0,0532
25;Alimentos y bebidas;Azúcar blanco;Bella Unión;Paquete 1 kg.;395;42;42;55;54,718;65,0;67,0;2,716900055;2;55,062;-0,0062;0,0497
26;Alimentos y bebidas;Café envasado (no instantáneo);Águila;Paquete 250 grs.;430;198;202;277;270,189;336,0;347,0;23,45043856;11;262,059;0,031;0,0868
27;Alimentos y bebidas;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;428;215,4;235,9;320;319,464;385,0;404,0;26,0491933;25;315,954;0,0111;0,0815
28;Alimentos y bebidas;Café envasado (no instantáneo);Saint;Paquete 250 grs.;177;165;169;210;211,611;237,0;243,0;15,5911103;28;212,329;-0,0034;0,0737
29;Alimentos y bebidas;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;237;299;319;399;399,553;459,0;472,5;40,58847752;82;393,926;0,0143;0,1016
30;Alimentos y bebidas;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;230;199;219;309;293,872;369,3;399,0;32,03945112;59;278,871;0,0538;0,109
31;Alimentos y bebidas;Cerveza;Patricia;Botella 960 ml.;424;140;140;177;174,263;195,0;204,0;8,898944476;1;175,253;-0,0056;0,0511
32;Alimentos y bebidas;Cerveza;Pilsen;Botella 960 ml.;315;129;129;130;137,088;167,0;168,0;11,36067527;20;153,727;-0,1082;0,0829
33;Alimentos y bebidas;Cerveza;Zillertal;Botella 1 lt.;424;149,01;168;184,01;189,718;206,0;217,0;8,725373164;14;190,689;-0,0051;0,046
37;Alimentos y bebidas;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;237;425;425;599;575,444;639,0;703,0;47,3933007;55;586,701;-0,0192;0,0824
38;Alimentos y bebidas;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;220;425;425;579;598,557;714,0;745,0;66,35149231;70;600,189;-0,0027;0,1109
39;Alimentos y bebidas;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;107;299;302,22;412;401,154;432,0;432,0;33,4908883;0;401,438;-0,0007;0,0835
40;Alimentos y bebidas;Cocoa;Copacabana;Envase 500 grs.;460;200;203;279;278,765;335,0;364,0;30,49851403;38,13;261,813;0,0647;0,1094
41;Alimentos y bebidas;Cocoa;Vascolet;Envase 500 grs.;408;175;175;264,9;254,301;303,0;339,0;41,36074751;64;223,729;0,1366;0,1626
48;Alimentos y bebidas;Dulce de leche;Conaprole;Envase 1 kg.;429;210;233;265;267,638;320,0;337,0;16,89031913;19;266,892;0,0028;0,0631
49;Alimentos y bebidas;Dulce de leche;Los Nietitos;Envase 1 kg.;366;159;165;214;211,363;249,0;271,0;15,13737558;3;208,251;0,0149;0,0716
50;Alimentos y bebidas;Dulce de leche;Manjar;Envase 1 kg.;462;149;158;193;193,866;229,0;242,0;12,98072991;13;195,278;-0,0072;0,067
51;Alimentos y bebidas;Dulce de membrillo;Los Nietitos;Envase 400 grs.;322;56;58;72;72,057;89,0;89,0;4,713149194;4;71,837;0,0031;0,0654
52;Alimentos y bebidas;Fideos secos al huevo;Adria;Paquete 500 grs.;391;47;47;89;88,474;98,0;102,0;7,343181256;2;89,703;-0,0137;0,083
53;Alimentos y bebidas;Fideos secos al huevo;Cololó;Paquete 500 grs.;379;62,9;65;76;74,735;82,0;85,0;4,774601137;3,46;74,666;0,0009;0,0639
54;Alimentos y bebidas;Fideos secos al huevo;Las Acacias;Paquete 500 grs.;447;59;68;84,9;83,248;95,0;101,0;5,723903944;6;79,306;0,0497;0,0688
55;Alimentos y bebidas;Fideos secos semolados;Adria;Paquete 500 grs.;224;44,9;51;66;63,161;80,0;86,0;7,299418489;6;63,831;-0,0105;0,1156
56;Alimentos y bebidas;Fideos secos semolados;Las Acacias - franja celeste;Paquete 500 grs.;250;42;46;64,9;61,09;69,0;72,0;5,560598386;8;60,972;0,0019;0,091
58;Alimentos y bebidas;Frankfurters cortos;Centenario;Paquete 8 us.;146;150;152;191,5;199,029;260,0;260,0;20,94566112;7,5;199,029;0;0,1052
59;Alimentos y bebidas;Frankfurters cortos;Ottonello;Paquete 8 us.;378;129;156;184;183,647;200,0;200,0;7,636829518;10;181,377;0,0125;0,0416
60;Alimentos y bebidas;Frankfurters cortos;Schneck;Paquete 8 us.;443;180;195;248;245,623;285,0;320,0;19,30888661;21,9;236,892;0,0369;0,0786
61;Alimentos y bebidas;Galletitas al agua;Famosa;Paquete 140 grs.;542;47;49;70;69,662;82,0;85,0;6,6487004;10;69,738;-0,0011;0,0954
62;Alimentos y bebidas;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;92;40;40;41;40,925;47,0;47,0;1,377709711;1;40,925;0;0,0337
63;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;592;115;123;142;145,803;157,0;162,0;8,295076364;15;145,981;-0,0012;0,0569
64;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;491;138;143;180;185,627;199,0;219,0;11,90232213;19;185,138;0,0026;0,0641
66;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;447;129,9;153;172;169,737;185,0;195,0;7,177693955;2;170,501;-0,0045;0,0423
67;Alimentos y bebidas;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;448;97;97;129;129,602;149,0;150,0;7,943091287;0;129,375;0,0018;0,0613
