ï»¿id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Ãptimo;Envase 900 cc;281;53;62;72,5;71,87956078;84;87;3,674034871;4,43;71,19701725;0,009587;0,051113764
2;Aceite de girasol;RÃ­o de la Plata;Envase 900 cc;260;29,9;54;69;68,94931719;82,9;84,9;5,607386585;4;68,71011029;0,003481;0,081326209
3;Aceite de girasol;Uruguay;Envase 900 cc;204;48;49,9;58;56,61726199;69;69;5,28727946;9,85;56,49927377;0,002088;0,09338635
4;Aceite de maÃ­z;Delicia;Envase 900 cc;280;53;63,9;77;76,52841484;85;91;3,81751229;4,1;75,62173086;0,01199;0,049883593
5;Aceite de maÃ­z;RÃ­o de la Plata;Envase 900 cc;262;44,9;64;79;79,37567341;108,9;108,9;9,175532715;5;72,86294945;0,089383;0,115596282
6;Aceite de maÃ­z;Salad;Envase 900 cc;54;35;35;35;39,61057366;69,56;70,47;11,40311976;0;41,07008135;-0,035537;0,287880702
7;Aceite de soja;Condesa;Envase 900 cc;214;34,9;35;42;41,78159341;48;49,9;1,954137862;1,5;41,62435489;0,003778;0,046770305
8;Aceite de soja;RÃ­o de la Plata;Envase 900 cc;259;23,9;30,5;43;43,54440398;58;60;4,093324286;1;41,14518455;0,058311;0,094003452
9;Aceite de soja;Salad;Envase 900 cc;98;33;33;40;39,69221479;42;44;1,944608316;2;38,86860077;0,02119;0,048992185
10;Agua de mesa con gas;Matutina;Envase 2 lt.;157;20;20;30,5;29,41966118;43;45;8,427547736;19;29,4801855;-0,002053;0,286459714
11;Agua de mesa con gas;Nativa;Envase 2 lt.;180;34;37,9;49;48,97509923;52,5;52,5;3,012550424;4;46,54636829;0,052179;0,06151188
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;377;39;40;49;50,17038639;53;53;2,196935017;4;50,05364471;0,002332;0,043789478
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;176;139;159;210;214,7210205;275;285;19,89301587;13;206,486548;0,039879;0,092645871
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;177;129;165;219;221,2975855;295;338;31,93326926;40;216,9143716;0,020207;0,144300125
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;249;19,9;28;46;42,33335802;48;49;5,555976799;6;40,25602202;0,051603;0,13124347
16;Arroz blanco;Green Chef;Bolsa 1 kg.;251;18,5;21;39;37,89012346;43;43;4,123630313;2,5;38,44544586;-0,014444;0,108831271
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;243;28,9;32;45;42,90645559;47;51;3,724915512;3;42,77250035;0,003132;0,086814804
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;161;17;17,9;24;23,80244637;30;33;3,268812004;7;23,80261915;-7,00E-06;0,137330926
19;Arroz blanco;Pony;Bolsa 1 kg.;70;16,7;16,7;32;29,72226891;39;43;7,587324811;15;29,94569505;-0,007461;0,255274079
