id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;362;97;102;118;117,8871053;132;140;6,109797768;9,13;117,887105;0;0,051827532
2;Aceite de girasol;Río de la Plata;Envase 900 cc;349;96;107;139;134,6716325;150;155;9,867406475;15;133,1527792;0,011407;0,073270119
3;Aceite de girasol;Uruguay;Envase 900 cc;242;97;98,9;109,9;108,7298235;133;142;5,993592803;7;107,0344171;0,01584;0,055123724
4;Aceite de maíz;Delicia;Envase 900 cc;321;105;106;121;121,9641278;141;149;7,719039493;9;122,9118108;-0,00771;0,063289425
5;Aceite de maíz;Río de la Plata;Envase 900 cc;366;99;113,4;145;145,638153;165;177;7,864784743;10,9;142,4678505;0,022253;0,054002228
7;Aceite de soja;Condesa;Envase 900 cc;244;75;79;84;86,07623534;102;106;3,958063352;3;84,92026605;0,013612;0,04598323
8;Aceite de soja;Río de la Plata;Envase 900 cc;358;69;77,9;89;90,29792713;104;112;5,959818807;3;89,28539353;0,01134;0,066001723
9;Aceite de soja;Salad;Envase 900 cc;106;73;75;86;82,67142755;88;91;4,788821871;10;82,82221978;-0,001821;0,057925961
10;Agua de mesa con gas;Matutina;Envase 2 lt.;298;39;39;48;47,42235831;52;54;2,548089879;3;47,67574273;-0,005315;0,053731825
11;Agua de mesa con gas;Nativa;Envase 2 lt.;219;48,8;51;59;59,1760744;63;64;1,781615364;0;59,40498034;-0,003853;0,030107022
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;459;53;54;61;62,13536173;66;69;2,754245959;5;62,05246324;0,001336;0,044326546
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;219;225;245;289;312,0203079;377;421;31,82965126;64;305,853646;0,020162;0,102011473
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;214;265;269;345;344,5925098;419;440;40,07185137;80;340,8717822;0,010915;0,116287645
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;329;41,9;43;63;60,55425482;68;71;5,766954354;9,1;60,39182115;0,00269;0,095236154
16;Arroz blanco;Green Chef;Bolsa 1 kg.;329;41,9;43;53;52,77381994;61;62;3,903887234;4;52,93503882;-0,003046;0,073973937
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;388;42,9;47,9;59;58,15787832;64,4;66;4,052907635;7;58,72387741;-0,009638;0,069688024
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;222;28;29;37;36,77373575;50;50;4,338379018;3;36,71436633;0,001617;0,117974933
19;Arroz blanco;Pony;Bolsa 1 kg.;37;24;24;39;36,96296296;52;52;6,788306122;7;36,95802469;0,000134;0,183651568
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;222;29;32;38;40,06946693;52,5;52,5;7,294851255;17,5;40,17079002;-0,002522;0,182055111
22;Arvejas en conserva;Cololó;Lata 380 grs.;315;24;24;38;36,67909015;45;47,65;3,623663601;4;35,68011467;0,027998;0,098793716
23;Arvejas en conserva;Nidemar;Lata 300 grs.;174;19;19;25;26,15378049;33;34;3,225714932;4;26,15378049;0;0,123336469
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;204;39;39,7;48;47,53470914;54;57;2,185513826;2,01;46,32826797;0,026041;0,045977221
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;330;39;39,9;48;47,42899334;52,432;59;2,384751207;3;46,50928221;0,019775;0,050280452
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;389;113;116;157;156,2263029;179;190;13,2524922;21;141,9599551;0,100496;0,084828815
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;390;134;149;188;177,239799;207,11;209;18,31789752;30;169,5529757;0,045336;0,103350927
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;145;108;109;124;124,7544776;147;150;6,237952748;8,1;124,6379531;0,000935;0,050001835
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;224;299;299;379;355,365537;435;450;40,62176996;91;353,5672048;0,005086;0,114309818
