ï»¿id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Ãptimo;Envase 900 cc;281;58;61;71;71,19701725;84;87;3,639850674;4;69,79747913;0,020051;0,05112364
2;Aceite de girasol;RÃ­o de la Plata;Envase 900 cc;260;29,9;57;69;68,71011029;84,9;84,9;5,938792659;4;67,9248396;0,011561;0,086432588
3;Aceite de girasol;Uruguay;Envase 900 cc;204;46,9;48;57;56,49927377;68,98;69;5,020241785;6,1;56,08421322;0,007401;0,088854979
4;Aceite de maÃ­z;Delicia;Envase 900 cc;280;53;63,9;75;75,62173086;85;91;4,163049142;5,5;74,95023307;0,008959;0,055050963
5;Aceite de maÃ­z;RÃ­o de la Plata;Envase 900 cc;262;44,9;64;75;72,86294945;79;83;4,513370983;7;76,29100247;-0,044934;0,061943292
6;Aceite de maÃ­z;Salad;Envase 900 cc;59;35;35;35;41,07008135;69,56;69,56;11,19132875;5;54,95228571;-0,252623;0,272493464
7;Aceite de soja;Condesa;Envase 900 cc;214;35;36,5;42;41,62435489;48;49,9;2,411471117;3,1;40,22751441;0,034724;0,057934138
8;Aceite de soja;RÃ­o de la Plata;Envase 900 cc;259;23,9;30,5;43;41,14518455;58;60;5,499264697;4;42,46235629;-0,03102;0,133655123
9;Aceite de soja;Salad;Envase 900 cc;98;32;32;39,9;38,86860077;42;44;2,399918404;2,01;38,83064264;0,000978;0,061744399
10;Agua de mesa con gas;Matutina;Envase 2 lt.;171;20;20;30,5;29,4801855;42;44;7,978006314;19;35,16575813;-0,161679;0,270622663
11;Agua de mesa con gas;Nativa;Envase 2 lt.;180;34;37;48;46,54636829;52;52,5;3,683052195;7;45,35228184;0,026329;0,079126521
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;377;39;42;49;50,05364471;53;53;2,225574375;4;49,98052224;0,001463;0,044463783
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;176;159;159;199;206,486548;272;291,76;20,18969278;10;200,0301653;0,032277;0,097777279
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;176;129;165;205;216,9143716;293;315;32,52605771;44;203,5283688;0,06577;0,149948837
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;249;19,9;28;40;40,25602202;48;49;5,68626934;11;42,75811279;-0,058517;0,141252639
16;Arroz blanco;Green Chef;Bolsa 1 kg.;251;18,5;21;39;38,44544586;43;43;3,803805575;3,5;38,40925824;0,000942;0,098940342
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;243;28,9;32;45;42,77250035;46;51;3,804558686;3;43,06454722;-0,006782;0,088948709
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;162;17;18;24;23,80261915;30;33;3,30033337;7;23,9798023;-0,007389;0,138654211
19;Arroz blanco;Pony;Bolsa 1 kg.;70;16,7;16,7;32;29,94569505;39;43;6,668870949;12,1;29,06057226;0,030458;0,22269882
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;188;15,5;17,9;24,5;26,87837109;35,5;35,5;5,541080467;8;25,82191342;0,040913;0,206153879
22;Arvejas en conserva;CololÃ³;Lata 380 grs.;308;14,5;17,9;32;29,47829915;37,4563;37,79;5,043086033;8;30,53024557;-0,034456;0,171077918
23;Arvejas en conserva;Nidemar;Lata 300 grs.;192;8,5;9;20,5;19,76831974;23,01;29,99;4,01856645;4;18,94087663;0,043686;0,203283157
24;AzÃºcar blanco;Azucarlito;Paquete 1 kg.;133;34;34;39;37,89537726;46;50;3,372339832;5;39,12467388;-0,03142;0,088990797
25;AzÃºcar blanco;Bella UniÃ³n;Paquete 1 kg.;282;27,9;32;35;35,6952991;45;49;2,308001502;1;35,68912509;0,000173;0,064658416
26;CafÃ© envasado (no instantÃ¡neo);Ãguila;Paquete 250 grs.;318;49;99;116;117,8375765;133;142;6,647314639;6;117,5231602;0,002675;0,056410823
27;CafÃ© envasado (no instantÃ¡neo);ChanÃ¡;Paquete 250 grs.;426;99;110;145;147,7839831;162;175;10,63337132;14;148,8026968;-0,006846;0,071952123
28;CafÃ© envasado (no instantÃ¡neo);Saint;Paquete 250 grs.;146;56;61;109;99,43180746;135;135;21,23925428;42;100,1494676;-0,007166;0,213606237
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;174;133;199;289;275,1550136;345;365;28,01404422;30;268,0743274;0,026413;0,101811862
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;170;148;177;199;204,4006541;254;275;17,56720712;14;199,8198442;0,022925;0,085944965
31;Cerveza;Patricia;Botella 960 ml.;372;87;92;114;114,8716445;147;147;12,02790656;9;114,811506;0,000524;0,104707359
32;Cerveza;Pilsen;Botella 960 ml.;374;69;83,42;100;100,9557158;108;111;5,994701415;8;101,7901561;-0,008198;0,059379515
33;Cerveza;Zillertal;Botella 1 lt.;374;95;102;127;126,6676175;137;139;9,772997512;13;128,9542129;-0,017732;0,077154664
34;ChampÃº;Fructis;Envase 350 ml.;353;115,95;162;216;217,6042871;247,5;254,5;19,46993571;28;210,6580607;0,032974;0,089474045
