id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;322;73;74,9;80;82,53776915;99;105,2;5,268217274;9,1;81,9774881;0,006835;0,063827958
2;Aceite de girasol;Río de la Plata;Envase 900 cc;308;55;57,5;86;82,35606925;101;115;11,66781652;16;84,61559701;-0,026703;0,141675248
3;Aceite de girasol;Uruguay;Envase 900 cc;157;59,9;62,9;67;69,13317221;88,1;89;5,741938494;10,1;67,53762525;0,023625;0,083056199
4;Aceite de maíz;Delicia;Envase 900 cc;336;62,2;73,9;85,5;86,27224802;105;109;5,133015891;6;85,53484991;0,008621;0,05949788
5;Aceite de maíz;Río de la Plata;Envase 900 cc;314;62;75;113;108,5669241;119;125;8,332699811;10;106,5728125;0,018711;0,076751735
6;Aceite de maíz;Salad;Envase 900 cc;4;45,9;45,9;57,2;59,29883333;82,37;82,37;13,58517148;30,37;59,3675;-0,001157;0,229096775
7;Aceite de soja;Condesa;Envase 900 cc;241;41;44;49;49,95985104;64;64;3,264431494;4;49,65226228;0,006195;0,065341097
8;Aceite de soja;Río de la Plata;Envase 900 cc;309;36;39;54;54,28968983;65;79;4,382131717;2;53,38527023;0,016941;0,080717568
9;Aceite de soja;Salad;Envase 900 cc;126;34,2;34,2;50;48,0052381;52;52;4,665929001;7;46,81591685;0,025404;0,097196247
10;Agua de mesa con gas;Matutina;Envase 2 lt.;122;27,9;27,9;42;38,7581234;52;52;6,336386869;12,5;38,73850696;0,000506;0,163485389
11;Agua de mesa con gas;Nativa;Envase 2 lt.;189;47;47;57;57,96028637;62,5;62,5;3,404595285;2;54,35502444;0,066328;0,058740139
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;415;49;52;58;59,0214117;62;62;2,316957892;3;56,94957219;0,03638;0,039256226
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;163;219;219;239;243,605611;307;340;15,19223513;5;243,8869385;-0,001154;0,062364061
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;230;219;229;279;269,0117101;335;396;22,05456466;30;268,4765358;0,001993;0,08198366
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;299;36,9;38;52;50,07784619;57;59;4,214921773;5;48,34184135;0,035911;0,084167393
16;Arroz blanco;Green Chef;Bolsa 1 kg.;300;32;35,9;47;45,69861234;53;57;3,636508133;3;44,38886022;0,029506;0,079575898
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;338;36,9;38;50;48,63843016;54;61;3,406097726;2,1;46,96961184;0,03553;0,07002894
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;206;24,9;25;32;30,71297634;35;35;2,541822941;3;30,08251952;0,020958;0,082760554
19;Arroz blanco;Pony;Bolsa 1 kg.;59;19,9;19,9;36;33,55254237;50;50;6,752562243;5;33,51355932;0,001163;0,201253371
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;221;20;25;38,5;33,98435994;40,9;41,5;5,429800789;8,5;35,01687345;-0,029486;0,159773519
22;Arvejas en conserva;Cololó;Lata 380 grs.;299;24;25;33;33,77121454;41;41,39;3,459733611;5;34,15555093;-0,011253;0,10244623
23;Arvejas en conserva;Nidemar;Lata 300 grs.;169;15;17;25;23,31736489;29;29,99;3,740410136;5,5;21,62659859;0,07818;0,160413072
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;278;35;36,9;38;39,01692959;49;54;2,302394846;1;39,02063012;-9,50E-05;0,059010149
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;339;31,9;35;38;38,12821865;42,8;49;1,395863086;1;38,17527073;-0,001233;0,036609712
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;333;114;116;138;137,0231527;150;156;6,209743894;10;136,499753;0,003834;0,045318939
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;336;138;139;159;158,5587123;175;184;5,843201116;1;159,0499837;-0,003089;0,036851971
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;131;68;68,8;125;120,2152672;137;137;13,74076773;8,5;120,0625954;0,001272;0,114301353
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;240;238;249;319;314,1365411;385;419;20,70555105;26;313,1545598;0,003136;0,065912584
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;232;205;209;247;249,7625159;280,665;329;24,87056181;54;250,9057222;-0,004556;0,099576839
31;Cerveza;Patricia;Botella 960 ml.;330;105;105;125;122,7633608;135;138;7,659433092;13;119,6472306;0,026044;0,062391849
32;Cerveza;Pilsen;Botella 960 ml.;246;92;97;110;106,8591246;119;122;7,454154634;16;104,6147046;0,021454;0,069756838
33;Cerveza;Zillertal;Botella 1 lt.;328;115;119;130;134,2774245;154,1;162;10,59215455;19;133,52689;0,005621;0,078882616
34;Champú;Fructis;Envase 350 ml.;412;165;196;258;256,4310291;285;329;21,31514501;29;243,8359616;0,051654;0,083122332
35;Champú;Sedal;Envase 350 ml.;444;148;151;201;193,091678;215;235;16,051822;16;192,7710881;0,001663;0,083130574
36;Champú;Suave;Envase 930 ml.;115;134;134,9;162;164,9099889;192;219;11,23642703;11,475;165,213043;-0,001834;0,068136728
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;162;369;369;439;430,7247098;455;459;19,27119079;11,51;429,8205199;0,002104;0,044741317
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;214;349;349;422,36;433,9382674;510;510;33,83670821;54;421,9268586;0,028468;0,077975857
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;123;255;255;325;314,7879552;335;335;21,14111094;22,6;314,8033613;-4,90E-05;0,067159847
40;Cocoa;Copacabana;Envase 500 grs.;201;99;102;146;147,4556412;172,68;172,68;12,52007573;8,53;144,4318248;0,020936;0,084907404
41;Cocoa;Vascolet;Envase 500 grs.;228;94,5;94,5;155;142,9384122;204;204;29,77695858;61;145,262309;-0,015998;0,2083202
42;Desodorante en aerosol;Axe Musk;Envase 113 grs.;303;95;96;139;135,8881922;153;167;10,62067975;6;132,3845406;0,026466;0,078157488
43;Desodorante en aerosol;Dove Original;Envase 100 grs.;442;129;129;176;174,4459726;191;195;11,75695776;11;169,5909931;0,028628;0,067395983
44;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;405;98;109,9;153;144,4507228;168;170;16,11327642;32,1;146,1455982;-0,011597;0,111548604
45;Detergente para vajilla;Deterjane limón;Envase 1.250 lt.;269;65;67,6;92;89,64850746;110;131;7,960083877;8;86,18941984;0,040134;0,088792152
46;Detergente para vajilla;Hurra Nevex Limón;Envase 1.250 lt.;475;70;73;89;90,19010042;102;115;5,631171801;8;88,06805194;0,024096;0,062436695
47;Detergente para vajilla;Protergente limón;Envase 1 lt.;288;35;44;51;49,79400751;55;65;3,866934299;7;49,00269647;0,016148;0,077658628
48;Dulce de leche;Conaprole;Envase 1 kg.;340;157;160;189;184,7254288;217;217;12,90851315;18;182,5083305;0,012148;0,06987946
49;Dulce de leche;Los Nietitos;Envase 1 kg.;339;118;127;145;142,2494081;169;170;10,51583379;21;143,9100424;-0,011539;0,073925325
50;Dulce de leche;Manjar;Envase 1 kg.;338;74,9;115;141,16;140,9624446;153;194;7,457437963;9;136,1626651;0,03525;0,052903722
51;Dulce de membrillo;Los Nietitos;Envase 400 grs.;340;46,9;48;57;56,21066917;63;69;3,226895122;5,75;55,4226634;0,014218;0,057407164
52;Fideos secos al huevo;Adria;Paquete 500 grs.;317;52;53;59;59,33371435;70;73;3,325026308;3;59,25058716;0,001403;0,056039409
53;Fideos secos al huevo;Cololó;Paquete 500 grs.;295;43;47;56;56,15952025;64;66;4,13673708;4,1;55,68749413;0,008476;0,073660478
54;Fideos secos al huevo;Las Acacias;Paquete 500 grs.;312;39;42;54,9;52,96802757;58,9;66;4,111244821;3;52,21820994;0,014359;0,07761748
55;Fideos secos semolados;Adria;Paquete 500 grs.;2;44;44;44;49,5;55;55;5,54473639;11;49,5;0;0,112014877
56;Fideos secos semolados;Las Acacias - franja celeste;Paquete 500 grs.;191;36,9;38,9;44;43,17574171;47;53;1,820448763;1;43,22935315;-0,00124;0,042163694
57;Fideos secos semolados;Puritas;Paquete 500 grs.;3;20;20;25;23,96666667;26,9;26,9;2,926438953;6,9;23,96666667;0;0,122104546
58;Frankfurters cortos;Centenario;Paquete 8 us.;265;99,7;108;159;162,7108176;220;239;21,78102039;20,1;162,6844674;0,000162;0,133863382
59;Frankfurters cortos;Ottonello;Paquete 8 us.;297;101,3;129;172;169,3791215;194,07;221;13,9758245;20;167,616583;0,010515;0,082512085
60;Frankfurters cortos;Schneck;Paquete 8 us.;301;120;152;192;192,4506198;222;240;11,14290147;13;191,9148334;0,002792;0,057900055
61;Galletitas al agua;Famosa;Paquete 140 grs.;374;35;41;47;47,00271708;51;54;3,036869109;7;45,30019399;0,037583;0,064610501
62;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;271;33;35;41;41,08314114;44;51;2,742892742;5;40,87594136;0,005069;0,066764436
63;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;439;81;88;102;101,5411145;113;117;8,148938794;9;101,454517;0,000854;0,080252603
64;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;350;96;97,9;121;122,5603918;131;143;7,311769009;11;121,9856433;0,004712;0,059658499
65;Gaseosa tipo cola (env. no ret.);Nix;Botella 1,5 lt.;22;34;34;40;39,58181818;47;47;3,386745793;3;39,58181818;0;0,085563169
66;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;301;89;91,9;112;110,1559771;125;125;5,522720278;7;107,6125721;0,023635;0,050135457
67;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;305;78;79;90;89,02001583;99;109;4,228416812;4;88,09075495;0,010549;0,047499619
68;Hamburguesas carne vacun;Burgy;Paquete 3 unidades;172;23;25;35;33,97418605;40;42;2,769569259;4;33,94413353;0,000885;0,081519812
69;Hamburguesas carne vacun;Paty;Paquete2 unidades;118;36;45,7;52;53,43389831;79;79;8,027766138;12,5;50,73365227;0,053224;0,150237329
70;Hamburguesas carne vacun;Schneck;Paquete2 unidades;322;56,4;59,9;79;76,84388056;84;89;6,113882697;7;76,79410038;0,000648;0,079562389
71;Harina de maíz;Gourmet;Paquete 450 grs.;61;19;19;27;25,56861504;33;33;3,673951658;6;25,60512956;-0,001426;0,143689897
72;Harina de maíz;Presto Pronta Arcor;Paquete 500 grs.;234;28;32;39;38,8483433;50,26;50,26;3,601810192;6;39,2420182;-0,010032;0,092714641
73;Harina de maíz;Puritas;Paquete 450 grs.;252;24,9;27;32;32,59244005;39;40;2,927635474;6;33,22669287;-0,019089;0,0898256
74;Harina trigo común 000;Cañuelas;Paquete 1 kg.;302;26;34,9;40;40,82413889;48;48;4,130848444;7;42,47104991;-0,038777;0,10118642
75;Harina trigo común 000;Cololó;Paquete 1 kg.;83;26;26;42,9;44,04348824;54;54;5,701974644;6,1;43,85064127;0,004398;0,129462376
76;Harina trigo común 0000;Cañuelas;Paquete 1 kg.;316;41;43;54;52,95700738;62;63;3,308223561;2;51,6805071;0,0247;0,062469987
77;Harina trigo común 0000;Cololó;Paquete 1 kg.;291;39;39;53;51,92349809;59;60;4,384342153;2;50,04887729;0,037456;0,084438497
78;Harina trigo común 0000;Primor;Paquete 1 kg.;134;38,9;38,9;52;51,45853419;58;58;4,286427341;6,62;49,17569731;0,046422;0,083298668
79;Helado familiar;Conaprole;Envase 1lt.;237;189;199;219;220,5363096;249;254;9,874680868;6;216,3304342;0,019442;0,04477576
80;Helado familiar;Crufi;Envase 1lt.;214;174,9;179;213;220,5273289;245;245;21,95879987;46;215,0646242;0,0254;0,099574053
82;Hipoclorito de sodio;Agua Jane;Botella 1 lt.;254;48;49;56;57,4086455;66;68;4,280991043;8,1;56,40541529;0,017786;0,074570494
83;Hipoclorito de sodio;Sello Rojo;Botella 1 lt.;309;36;46;51;50,82625092;56;61;2,834135538;5;50,43387306;0,00778;0,055761255
84;Hipoclorito de sodio;Solución Cristal;Botella 1 lt.;287;30;33;55;53,45926375;59;59;6,728534606;7;53,21745532;0,004544;0,125862837
85;Huevos colorados;El Jefe;Envase 1/2 docena;123;52;52;62;60,70894309;68,6;68,6;3,707292089;6;58,49299555;0,037884;0,061066655
86;Huevos colorados;Prodhin;Envase 1/2 docena;156;52;53;63;61,96284577;69;75;2,698186517;5;60,26612903;0,028154;0,043545232
87;Huevos colorados;Super huevo;Envase 1/2 docena;209;49;49,9;63;59,68490023;69;69;5,22133774;10;59,25820399;0,007201;0,08748172
88;Jabón de tocador;Astral plata;Unidad 125 grs.;489;32;34;53;49,71703277;59;59;7,257669612;13,9;48,90749192;0,016552;0,145979541
89;Jabón de tocador;Palmolive;Unidad 125 grs.;352;21,9;24;44;42,61686967;62,9;63,9;8,692244042;5;42,63145085;-0,000342;0,203962518
90;Jabón de tocador;Rexona;Unidad 125 grs.;300;27,6;28;39;38,87933333;49;49;3,879180588;2;38,48747127;0,010182;0,099774874
91;Jabón en polvo máquina;Drive;Paquete 800 grs.;136;86;89;103;104,5174825;125;125;7,118505395;10,1;103,1922676;0,012842;0,068108275
92;Jabón en polvo máquina;Nevex;Paquete 800 grs.;91;114;114;145;143,9230769;155;155;5,129722519;0;141,1030367;0,019986;0,035642113
93;Jabón en polvo máquina;Skip - Paquete azul;Paquete 800 grs.;138;125;125,76;162;163,6399062;183;189,9;9,649889684;8;163,7294203;-0,000547;0,058970271
