id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
1;Alimentos y bebidas;Aceite de girasol;Óptimo;Envase 900 cc;454;80;85;99,00;100,098;119;139;6,898464859;4,0;99,7380;0,0036;0,0689
2;Alimentos y bebidas;Aceite de girasol;Río de la Plata;Envase 900 cc;425;72;79;112,00;110,919;145;149,07;12,31860096;10,0;111,5940;-0,006;0,1111
3;Alimentos y bebidas;Aceite de girasol;Uruguay;Envase 900 cc;318;69,9;74,9;83,00;87,114;118;123;11,03659396;24,0;87,6830;-0,0065;0,1267
359;Alimentos y bebidas;Aceite de girasol;Tata;Envase 900 cc;86;95;95;95,00;95;95;95;0;0,0;96,3860;-0,0144;0
361;Alimentos y bebidas;Aceite de girasol;Precio Líder;Envase 900 cc;90;99;99;99,00;99;99;99;0;0,0;87,7100;0,1287;0
365;Alimentos y bebidas;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;79;79;97,00;96,236;102;102;4,808043449;0,0;94,5000;0,0184;0,05
4;Alimentos y bebidas;Aceite de maíz;Delicia;Envase 900 cc;402;89;89;129,00;123,98;140;154,35;12,19990049;11,0;121,4580;0,0208;0,0984
5;Alimentos y bebidas;Aceite de maíz;Río de la Plata;Envase 900 cc;420;113,4;130;145,00;147,07;167;167;11,48473828;24,0;149,8410;-0,0185;0,0781
7;Alimentos y bebidas;Aceite de soja;Condesa;Envase 900 cc;387;52;56,9;62,00;64,657;82;85;7,174865074;10,0;65,7320;-0,0164;0,111
8;Alimentos y bebidas;Aceite de soja;Río de la Plata;Envase 900 cc;427;49;55;69,00;69,049;84;93;9,721087708;20,0;69,4940;-0,0064;0,1408
9;Alimentos y bebidas;Aceite de soja;Salad;Envase 900 cc;93;45;49;75,00;73,894;99;99;5,520568031;0,0;74,6280;-0,0098;0,0747
10;Alimentos y bebidas;Agua de mesa con gas;Matutina;Envase 2,5 lt.;459;47;51,9;59,00;59,374;73;73;3,026220423;3,0;59,1720;0,0034;0,051
11;Alimentos y bebidas;Agua de mesa con gas;Nativa;Envase 2,5 lt.;373;56;59;74,00;73,555;87,71;89;3,428076009;1,0;72,1530;0,0194;0,0466
12;Alimentos y bebidas;Agua de mesa con gas;Salus;Envase 2,25 lt.;555;60;63;74,00;75,34;80;80;2,723624171;0,0;74,9650;0,005;0,0362
366;Alimentos y bebidas;Agua de mesa sin gas;Salus;Envase 2,25lt.;548;62;63;74,00;75,34;80;82;3,463298637;6,0;74,9800;0,0048;0,046
367;Alimentos y bebidas;Agua de mesa sin gas;Matutina;Envase 2,5lt.;403;47;53;59,00;59,26;73;73;2,931483091;3,0;59,0210;0,004;0,0495
368;Alimentos y bebidas;Agua de mesa sin gas;Vitale;Envase 2,5lt.;376;50;50,01;65,00;62,526;73;99;4,268770219;6,0;62,7070;-0,0029;0,0683
369;Alimentos y bebidas;Agua mineral sin gas;Salus;Envase 6,25lt.;540;109;122;137,00;137,434;147;147;8,139745934;10,0;138,3260;-0,0064;0,0592
370;Alimentos y bebidas;Agua mineral sin gas;Nativa;Envase 6lt.;366;109;109;129,90;126,386;135;142;7,779967382;1,0;126,5960;-0,0017;0,0616
13;Alimentos y bebidas;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;142;249;269;299,00;305,084;375;390;17,79759611;13,0;304,7290;0,0012;0,0583
14;Alimentos y bebidas;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;131;229;229;256,00;279,822;379;380;44,48231168;50,0;264,5270;0,0578;0,159
15;Alimentos y bebidas;Arroz blanco;Blue Patna;Bolsa 1 kg.;394;51,9;59,9;75,00;74,796;85;91;6,161323774;10,0;76,9320;-0,0278;0,0824
16;Alimentos y bebidas;Arroz blanco;Green Chef;Bolsa 1 kg.;391;53,9;59;74,00;71,446;80;89;5,42307059;10,0;73,2420;-0,0245;0,0759
17;Alimentos y bebidas;Arroz blanco;Saman Blanco;Bolsa 1 kg.;446;50;57;82,00;78,231;89;90;7,784345992;15,0;80,4850;-0,028;0,0995
18;Alimentos y bebidas;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;267;37;38;50,00;50,701;59;75;4,767167864;5,0;49,6300;0,0216;0,094
19;Alimentos y bebidas;Arroz blanco;Pony;Bolsa 1 kg.;56;31;31;39,00;39,536;59;59;5,078559266;3,0;39,5360;0;0,1285
20;Alimentos y bebidas;Arroz blanco;Vidarroz;Bolsa 1 kg.;236;33;40;57,00;53,1;60;60;7,106431494;3,0;51,7180;0,0267;0,1338
